model,condition,metric,perspective,value,rank
pythia-1.4b,high,circuit_accuracy,functional,0.8948148148148148,2.0
pythia-1.4b,high,retention_ratio,functional,0.904252238377799,2.0
pythia-1.4b,high,edge_fraction,structural,0.02674327695114227,3.0
pythia-1.4b,high,skip_fraction,structural,0.8468347759542509,2.0
pythia-1.4b,high,convergence_layer,representational,16.792592592592595,3.0
pythia-1.4b,high,final_prob_correct,representational,0.5494121710459391,4.0
pythia-1.4b,low,circuit_accuracy,functional,0.7985185185185185,4.0
pythia-1.4b,low,retention_ratio,functional,0.8332268500571899,4.0
pythia-1.4b,low,edge_fraction,structural,0.031852008124330304,1.0
pythia-1.4b,low,skip_fraction,structural,0.8523678227344988,1.0
pythia-1.4b,low,convergence_layer,representational,21.565925925925924,1.0
pythia-1.4b,low,final_prob_correct,representational,0.558697501818339,1.0
pythia-1.4b,medium,circuit_accuracy,functional,0.8592592592592592,3.0
pythia-1.4b,medium,retention_ratio,functional,0.8854956502311033,3.0
pythia-1.4b,medium,edge_fraction,structural,0.030838535138556198,2.0
pythia-1.4b,medium,skip_fraction,structural,0.8416465925073965,3.0
pythia-1.4b,medium,convergence_layer,representational,19.371851851851854,2.0
pythia-1.4b,medium,final_prob_correct,representational,0.5552672346433004,2.0
pythia-1.4b,very_high,circuit_accuracy,functional,0.9185185185185185,1.0
pythia-1.4b,very_high,retention_ratio,functional,0.9239514514514515,1.0
pythia-1.4b,very_high,edge_fraction,structural,0.02512172017390363,4.0
pythia-1.4b,very_high,skip_fraction,structural,0.8347701816072349,4.0
pythia-1.4b,very_high,convergence_layer,representational,14.613333333333332,4.0
pythia-1.4b,very_high,final_prob_correct,representational,0.5513152480125427,3.0
pythia-160m,high,circuit_accuracy,functional,0.9229629629629629,2.0
pythia-160m,high,retention_ratio,functional,0.9615172705072387,2.0
pythia-160m,high,edge_fraction,structural,0.12206040522077839,3.0
pythia-160m,high,skip_fraction,structural,0.8055946990597868,2.0
pythia-160m,high,convergence_layer,representational,8.948148148148148,3.0
pythia-160m,high,final_prob_correct,representational,0.5070582826932272,2.0
pythia-160m,low,circuit_accuracy,functional,0.8903703703703704,4.0
pythia-160m,low,retention_ratio,functional,0.9585091078512131,3.0
pythia-160m,low,edge_fraction,structural,0.1265660881951106,2.0
pythia-160m,low,skip_fraction,structural,0.8031830029081778,3.0
pythia-160m,low,convergence_layer,representational,9.551111111111112,1.0
pythia-160m,low,final_prob_correct,representational,0.41422542929649353,4.0
pythia-160m,medium,circuit_accuracy,functional,0.9111111111111111,3.0
pythia-160m,medium,retention_ratio,functional,0.951995406258972,4.0
pythia-160m,medium,edge_fraction,structural,0.12889160198831423,1.0
pythia-160m,medium,skip_fraction,structural,0.8096447426593154,1.0
pythia-160m,medium,convergence_layer,representational,9.21925925925926,2.0
pythia-160m,medium,final_prob_correct,representational,0.45760680238405865,3.0
pythia-160m,very_high,circuit_accuracy,functional,0.9511111111111111,1.0
pythia-160m,very_high,retention_ratio,functional,0.9816442011243098,1.0
pythia-160m,very_high,edge_fraction,structural,0.116101276125694,4.0
pythia-160m,very_high,skip_fraction,structural,0.7856427747824274,4.0
pythia-160m,very_high,convergence_layer,representational,8.672592592592594,4.0
pythia-160m,very_high,final_prob_correct,representational,0.5469598372777303,1.0
pythia-1b,high,circuit_accuracy,functional,0.9362962962962964,1.0
pythia-1b,high,retention_ratio,functional,0.9461042943395884,1.0
pythia-1b,high,edge_fraction,structural,0.09488127352049817,2.0
pythia-1b,high,skip_fraction,structural,0.7908369490327525,2.0
pythia-1b,high,convergence_layer,representational,11.413333333333334,3.0
pythia-1b,high,final_prob_correct,representational,0.6600308418273926,3.0
pythia-1b,low,circuit_accuracy,functional,0.9051851851851852,4.0
pythia-1b,low,retention_ratio,functional,0.9270928462709285,4.0
pythia-1b,low,edge_fraction,structural,0.09664635161687814,1.0
pythia-1b,low,skip_fraction,structural,0.792581906907528,1.0
pythia-1b,low,convergence_layer,representational,12.487407407407408,1.0
pythia-1b,low,final_prob_correct,representational,0.6697704792022705,2.0
pythia-1b,medium,circuit_accuracy,functional,0.9348148148148147,3.0
pythia-1b,medium,retention_ratio,functional,0.9446428571428571,3.0
pythia-1b,medium,edge_fraction,structural,0.0936157458287541,3.0
pythia-1b,medium,skip_fraction,structural,0.7864043485180922,3.0
pythia-1b,medium,convergence_layer,representational,11.921481481481479,2.0
pythia-1b,medium,final_prob_correct,representational,0.6925957202911377,1.0
pythia-1b,very_high,circuit_accuracy,functional,0.9362962962962963,2.0
pythia-1b,very_high,retention_ratio,functional,0.944699464038029,2.0
pythia-1b,very_high,edge_fraction,structural,0.08459053518500013,4.0
pythia-1b,very_high,skip_fraction,structural,0.7861952702784286,4.0
pythia-1b,very_high,convergence_layer,representational,10.997037037037037,4.0
pythia-1b,very_high,final_prob_correct,representational,0.5928894877433777,4.0
pythia-410m,high,circuit_accuracy,functional,0.9674074074074074,2.0
pythia-410m,high,retention_ratio,functional,0.9746156310057655,2.0
pythia-410m,high,edge_fraction,structural,0.04278096987296424,3.0
pythia-410m,high,skip_fraction,structural,0.8847558500617144,3.0
pythia-410m,high,convergence_layer,representational,18.863703703703703,3.0
pythia-410m,high,final_prob_correct,representational,0.56415323416392,3.0
pythia-410m,low,circuit_accuracy,functional,0.9466666666666667,4.0
pythia-410m,low,retention_ratio,functional,0.9637799667211432,4.0
pythia-410m,low,edge_fraction,structural,0.049337519597258205,1.0
pythia-410m,low,skip_fraction,structural,0.8870374180657047,2.0
pythia-410m,low,convergence_layer,representational,21.013333333333332,1.0
pythia-410m,low,final_prob_correct,representational,0.622758150100708,1.0
pythia-410m,medium,circuit_accuracy,functional,0.9748148148148147,1.0
pythia-410m,medium,retention_ratio,functional,0.9880622367169453,1.0
pythia-410m,medium,edge_fraction,structural,0.04731471025014163,2.0
pythia-410m,medium,skip_fraction,structural,0.8872553262023727,1.0
pythia-410m,medium,convergence_layer,representational,20.12,2.0
pythia-410m,medium,final_prob_correct,representational,0.5726243654886881,2.0
pythia-410m,very_high,circuit_accuracy,functional,0.9629629629629629,3.0
pythia-410m,very_high,retention_ratio,functional,0.9716049881491058,3.0
pythia-410m,very_high,edge_fraction,structural,0.0408988057565265,4.0
pythia-410m,very_high,skip_fraction,structural,0.8847139991912526,4.0
pythia-410m,very_high,convergence_layer,representational,17.562962962962963,4.0
pythia-410m,very_high,final_prob_correct,representational,0.5261775453885397,4.0
pythia-70m,high,circuit_accuracy,functional,0.4162962962962962,2.0
pythia-70m,high,retention_ratio,functional,0.8295828218576796,2.0
pythia-70m,high,edge_fraction,structural,0.31470292044310166,2.0
pythia-70m,high,skip_fraction,structural,0.6256412683349254,2.0
pythia-70m,high,convergence_layer,representational,4.5051851851851845,3.0
pythia-70m,high,final_prob_correct,representational,0.20282910267512,2.0
pythia-70m,low,circuit_accuracy,functional,0.24296296296296296,4.0
pythia-70m,low,retention_ratio,functional,0.8029724528168015,4.0
pythia-70m,low,edge_fraction,structural,0.2938066465256797,4.0
pythia-70m,low,skip_fraction,structural,0.6237499507118568,3.0
pythia-70m,low,convergence_layer,representational,4.724444444444445,1.0
pythia-70m,low,final_prob_correct,representational,0.11200461288293197,4.0
pythia-70m,medium,circuit_accuracy,functional,0.3481481481481481,3.0
pythia-70m,medium,retention_ratio,functional,0.8690604716920506,1.0
pythia-70m,medium,edge_fraction,structural,0.3003524672708962,3.0
pythia-70m,medium,skip_fraction,structural,0.628588353717742,1.0
pythia-70m,medium,convergence_layer,representational,4.631111111111111,2.0
pythia-70m,medium,final_prob_correct,representational,0.1639000276724497,3.0
pythia-70m,very_high,circuit_accuracy,functional,0.5496296296296297,1.0
pythia-70m,very_high,retention_ratio,functional,0.8203257007119209,3.0
pythia-70m,very_high,edge_fraction,structural,0.31671701913393757,1.0
pythia-70m,very_high,skip_fraction,structural,0.6128889341357103,4.0
pythia-70m,very_high,convergence_layer,representational,4.340740740740741,4.0
pythia-70m,very_high,final_prob_correct,representational,0.28195744752883906,1.0
