model,band,draw,rank_S,rank_F,rank_R,disagreement
pythia-1.4b,low,draw_2,0.43499999999999994,0.5145833333333334,0.7999999999999999,0.73
pythia-1.4b,very_high,draw_2,0.3849999999999999,0.5729166666666667,0.74375,0.7175000000000002
pythia-1.4b,medium,draw_2,0.42666666666666675,0.50625,0.7666666666666666,0.6799999999999997
pythia-1.4b,high,draw_2,0.41166666666666674,0.503125,0.7374999999999999,0.6516666666666664
pythia-160m,medium,draw_2,0.6666666666666667,0.5479166666666667,0.34375,0.6458333333333335
pythia-1.4b,medium,draw_3,0.4333333333333333,0.5125,0.7395833333333334,0.6125000000000002
pythia-160m,medium,draw_3,0.6583333333333334,0.47187500000000004,0.35625,0.6041666666666669
pythia-1.4b,very_high,draw_3,0.3966666666666666,0.6156250000000001,0.6916666666666668,0.5900000000000003
pythia-1.4b,high,draw_3,0.4183333333333333,0.5760416666666667,0.7104166666666668,0.5841666666666671
pythia-70m,high,draw_2,0.4616666666666667,0.29583333333333334,0.17291666666666666,0.5775000000000001
pythia-160m,high,draw_2,0.6366666666666666,0.5750000000000001,0.34791666666666665,0.5774999999999999
pythia-160m,low,draw_2,0.6349999999999999,0.5166666666666667,0.34791666666666665,0.5741666666666665
pythia-70m,low,draw_2,0.4625000000000001,0.24583333333333335,0.17708333333333334,0.5708333333333334
pythia-70m,very_high,draw_2,0.4616666666666667,0.29375,0.17708333333333334,0.5691666666666668
pythia-1.4b,low,draw_3,0.4633333333333334,0.49375,0.74375,0.5608333333333333
pythia-70m,low,draw_3,0.485,0.20729166666666665,0.25833333333333336,0.5554166666666667
pythia-70m,medium,draw_2,0.45166666666666666,0.25625,0.17604166666666665,0.55125
pythia-160m,low,draw_1,0.6283333333333333,0.48541666666666666,0.35416666666666663,0.5483333333333333
pythia-160m,medium,draw_1,0.6266666666666666,0.5072916666666667,0.35833333333333334,0.5366666666666665
pythia-1.4b,very_high,draw_1,0.41666666666666663,0.5322916666666666,0.675,0.5166666666666668
pythia-160m,low,draw_3,0.6133333333333335,0.5145833333333334,0.35625,0.514166666666667
pythia-160m,high,draw_3,0.6083333333333334,0.4479166666666667,0.35208333333333336,0.5125000000000001
pythia-70m,medium,draw_3,0.5041666666666667,0.2583333333333333,0.2572916666666667,0.4937499999999999
pythia-70m,high,draw_3,0.5033333333333333,0.3145833333333333,0.25833333333333336,0.4899999999999999
pythia-1.4b,medium,draw_1,0.44833333333333336,0.5208333333333334,0.6895833333333333,0.48249999999999993
pythia-1b,medium,draw_1,0.39,0.5885416666666666,0.6291666666666667,0.4783333333333333
pythia-160m,high,draw_1,0.5966666666666667,0.5041666666666668,0.35833333333333334,0.4766666666666667
pythia-1.4b,high,draw_1,0.43166666666666664,0.5145833333333334,0.6687500000000001,0.47416666666666685
pythia-70m,very_high,draw_1,0.46333333333333326,0.29791666666666666,0.22916666666666669,0.46833333333333316
pythia-70m,high,draw_1,0.46833333333333327,0.2916666666666667,0.23541666666666666,0.4658333333333332
pythia-1.4b,low,draw_1,0.47833333333333333,0.4833333333333333,0.7104166666666667,0.4641666666666667
pythia-160m,very_high,draw_3,0.5833333333333334,0.5802083333333333,0.3541666666666667,0.45833333333333337
pythia-70m,medium,draw_1,0.45166666666666666,0.2854166666666667,0.23333333333333334,0.43666666666666665
pythia-70m,low,draw_1,0.42666666666666664,0.2114583333333333,0.23125,0.43041666666666667
pythia-70m,very_high,draw_3,0.47000000000000003,0.3104166666666667,0.2604166666666667,0.4191666666666667
pythia-160m,very_high,draw_1,0.5650000000000001,0.590625,0.3875,0.4062499999999999
pythia-1b,low,draw_1,0.425,0.4708333333333333,0.6229166666666667,0.39583333333333337
pythia-1b,high,draw_2,0.41666666666666663,0.5572916666666667,0.6125,0.39166666666666683
pythia-1b,very_high,draw_1,0.39249999999999996,0.5072916666666667,0.5875,0.3900000000000001
pythia-1b,low,draw_2,0.4416666666666666,0.5645833333333333,0.6291666666666667,0.3750000000000001
pythia-160m,very_high,draw_2,0.5483333333333333,0.53125,0.3645833333333333,0.36750000000000005
pythia-1b,medium,draw_2,0.45500000000000007,0.546875,0.6239583333333333,0.3379166666666664
pythia-410m,very_high,draw_3,0.5783333333333334,0.7114583333333333,0.54375,0.3354166666666667
pythia-1b,high,draw_1,0.43999999999999995,0.5125,0.6041666666666666,0.32833333333333337
pythia-410m,low,draw_2,0.6016666666666667,0.6718750000000001,0.7583333333333333,0.31333333333333324
pythia-1b,very_high,draw_2,0.4383333333333333,0.49999999999999994,0.59375,0.3108333333333334
pythia-410m,high,draw_1,0.5766666666666667,0.7052083333333334,0.64375,0.25708333333333355
pythia-1b,high,draw_3,0.44666666666666666,0.5708333333333334,0.5374999999999999,0.24833333333333352
pythia-1b,medium,draw_3,0.43166666666666664,0.5458333333333334,0.5468749999999999,0.2304166666666665
pythia-410m,medium,draw_1,0.6,0.7135416666666667,0.6770833333333333,0.22708333333333353
pythia-410m,medium,draw_2,0.6,0.6531250000000001,0.7125,0.2250000000000001
pythia-410m,high,draw_2,0.6083333333333334,0.628125,0.71875,0.22083333333333321
pythia-410m,very_high,draw_1,0.5483333333333333,0.6583333333333333,0.6145833333333333,0.21999999999999997
pythia-410m,high,draw_3,0.605,0.6885416666666667,0.5791666666666666,0.21875000000000022
pythia-1b,low,draw_3,0.44749999999999995,0.540625,0.5479166666666666,0.2008333333333333
pythia-410m,low,draw_3,0.6466666666666667,0.7197916666666667,0.625,0.18958333333333344
pythia-410m,medium,draw_3,0.6266666666666667,0.6979166666666666,0.6041666666666666,0.1875
pythia-1b,very_high,draw_3,0.43583333333333335,0.5239583333333333,0.5041666666666667,0.1762499999999999
pythia-410m,very_high,draw_2,0.6083333333333333,0.6812500000000001,0.6729166666666666,0.1458333333333337
pythia-410m,low,draw_1,0.6174999999999999,0.6541666666666667,0.6854166666666666,0.13583333333333325
