metric,perspective,rho_with_log_capacity,p_value,direction,significant
edge_fraction,structural,-0.8819510602194376,1.3313970336205856e-20,decreases,True
skip_fraction,structural,0.5239914210695156,1.733520840390083e-05,increases,True
attn_fraction,structural,0.6988820642057045,5.3059139685588e-10,increases,True
mlp_fraction,structural,-0.1218109926901861,0.35384642215935264,decreases,False
resid_fraction,structural,-0.8173018698484139,1.644815199286236e-15,decreases,True
head_participation_rate,structural,-0.8754504866939739,5.74016485933394e-20,decreases,True
active_heads,structural,0.4903067078672621,6.987667903651032e-05,increases,True
mean_edges_per_head,structural,0.38857566001952065,0.0021540657665643135,increases,True
n_universal,structural,0.1967477507351859,0.1318843821998342,increases,False
universal_fraction,structural,-0.8837824554557692,8.685066569444309e-21,decreases,True
n_edges,functional,0.4899728112330209,7.079794451428568e-05,increases,True
total_edges,functional,0.6155870112510924,1.654325949289563e-07,increases,True
size_fraction,functional,-0.8819510602194376,1.3313970336205856e-20,decreases,True
base_accuracy,functional,0.6889713221334812,1.160725089361345e-09,increases,True
circuit_accuracy,functional,0.28936884932521373,0.024928851636249815,increases,True
circuit_kl_div,functional,0.8969099908696383,3.2396521293651715e-22,increases,True
retention_ratio,functional,0.03266576175442338,0.8043113643500573,increases,False
completeness,functional,-0.09449111825230681,0.4726725530181169,decreases,False
convergence_layer,representational,0.7594684088808628,2.007871299935735e-12,increases,True
final_prob_correct,representational,0.7145337560038849,1.4419974135991347e-10,increases,True
peak_probe_accuracy,representational,0.9383369280147674,1.95522377420694e-28,increases,True
peak_probe_layer,representational,0.8372183582789213,7.757076721549264e-17,increases,True
peak_separation_ratio,representational,0.8946933499675688,5.81755646727951e-22,increases,True
peak_mi_probe,representational,0.9710696115501662,9.042692677317618e-38,increases,True
peak_mi_probe_layer,representational,0.7008046078054446,4.5416835289628744e-10,increases,True
peak_efficiency,representational,-0.9601587170383665,8.346648521235792e-34,decreases,True
