metric,perspective,eta2_model,eta2_condition,eta2_replication,residual,dominant_factor
edge_fraction,structural,0.9957325921203647,0.00021611026577129564,2.329509264438816e-05,0.004028002521219626,model
skip_fraction,structural,0.992134504660044,0.0024456122226773794,8.519343269687477e-05,0.005334689684581698,model
attn_fraction,structural,0.7788569801652706,0.026355046881521307,0.009141825321920705,0.1856461476312874,model
mlp_fraction,structural,0.840215383173703,0.010893532275873113,0.006207643333283957,0.14268344121713988,model
resid_fraction,structural,0.9565805712702443,0.015699327908548666,0.0014652374254319324,0.026254863395775083,model
head_participation_rate,structural,0.9639148270742991,0.005731881636912893,7.832547437889926e-05,0.030274965814409114,model
active_heads,structural,0.9879034784128264,0.002951523790787465,7.308744445628937e-05,0.009071910351929805,model
mean_edges_per_head,structural,0.8617783693164117,0.045307275164171656,0.004655138667651814,0.08825921685176481,model
n_universal,structural,0.999109850934295,0.0,0.00046111043434891836,0.00042903863135602987,model
universal_fraction,structural,0.997127192574433,0.0,0.0019194968243093182,0.0009533106012576296,model
n_edges,functional,0.9778819120460067,0.009943156071333848,7.149192798175575e-05,0.012103439954677678,model
total_edges,functional,0.9999999999999994,0.0,0.0,5.551115123125783e-16,model
size_fraction,functional,0.9957325921203647,0.00021611026577129564,2.329509264438816e-05,0.004028002521219626,model
base_accuracy,functional,0.9112358852499589,0.025941376649871284,0.0003498887965270065,0.0624728493036428,model
circuit_accuracy,functional,0.9295974346902409,0.03038438199451782,0.0006409274157479734,0.03937725589949329,model
circuit_kl_div,functional,0.8625759680303998,0.03975045584968947,0.002257980136645439,0.09541559598326527,model
retention_ratio,functional,0.7512720882251703,0.043313686772519726,0.003652494108362318,0.2017617308939476,model
completeness,functional,0.017857142857152678,0.035714285714300006,0.06250000000003171,0.8839285714285156,replication
convergence_layer,representational,0.9444142676185988,0.029973504798034966,5.958942594900335e-05,0.025552638157417217,model
final_prob_correct,representational,0.9283406880903792,0.0032319521278724025,0.0011844480695278803,0.06724291171222055,model
peak_probe_accuracy,representational,0.9558257946802924,5.156361296588199e-30,0.006913329239592623,0.037260876080114996,model
peak_probe_layer,representational,0.9966631073144687,0.0,0.0005339028296849935,0.002802989855846285,model
peak_separation_ratio,representational,0.8955448089487357,1.4816310843611502e-30,0.001016272497643365,0.10343891855362096,model
peak_mi_probe,representational,0.9661485364449224,0.0,0.014172752147375439,0.019678711407702183,model
peak_mi_probe_layer,representational,0.9908438882954372,0.0,0.0010682130321989973,0.008087898672363767,model
peak_efficiency,representational,0.993660752503198,0.0,0.001756761494566521,0.004582486002235516,model
