model,draw,base_band,source_band,peak_layer,iia,mean_logit_diff
pythia-70m,draw_1,low,high,5,0.44999998807907104,10.079411506652832
pythia-70m,draw_1,high,low,5,0.28999999165534973,6.205399036407471
pythia-70m,draw_1,low,control,5,0.6100000143051147,11.131743431091309
pythia-70m,draw_1,very_high,medium,5,0.36000001430511475,5.518685340881348
pythia-70m,draw_2,low,high,5,0.5400000214576721,10.9259614944458
pythia-70m,draw_2,high,low,5,0.3100000023841858,5.593651294708252
pythia-70m,draw_2,low,control,5,0.5,10.871840476989746
pythia-70m,draw_2,very_high,medium,5,0.4000000059604645,6.110867500305176
pythia-70m,draw_3,low,high,5,0.5099999904632568,10.823497772216797
pythia-70m,draw_3,high,low,5,0.23999999463558197,5.648802280426025
pythia-70m,draw_3,low,control,5,0.5600000023841858,10.898735046386719
pythia-70m,draw_3,very_high,medium,5,0.4099999964237213,5.739619255065918
pythia-160m,draw_1,low,high,11,0.949999988079071,12.70792007446289
pythia-160m,draw_1,high,low,11,0.9399999976158142,11.32168197631836
pythia-160m,draw_1,low,control,11,1.0,12.657273292541504
pythia-160m,draw_1,very_high,medium,11,0.9399999976158142,10.116571426391602
pythia-160m,draw_2,low,high,11,0.9700000286102295,12.830500602722168
pythia-160m,draw_2,high,low,11,0.9100000262260437,10.887974739074707
pythia-160m,draw_2,low,control,11,0.949999988079071,13.086507797241211
pythia-160m,draw_2,very_high,medium,11,0.9399999976158142,10.160615921020508
pythia-160m,draw_3,low,high,11,0.9800000190734863,12.930320739746094
pythia-160m,draw_3,high,low,11,0.8999999761581421,10.509810447692871
pythia-160m,draw_3,low,control,11,0.9599999785423279,12.720080375671387
pythia-160m,draw_3,very_high,medium,11,0.9399999976158142,10.101998329162598
pythia-410m,draw_1,low,high,23,0.9900000095367432,13.245789527893066
pythia-410m,draw_1,high,low,23,0.9599999785423279,11.965215682983398
pythia-410m,draw_1,low,control,23,0.9900000095367432,13.17538833618164
pythia-410m,draw_1,very_high,medium,23,1.0,10.56254768371582
pythia-410m,draw_2,low,high,23,0.9900000095367432,13.233084678649902
pythia-410m,draw_2,high,low,23,0.9800000190734863,12.084564208984375
pythia-410m,draw_2,low,control,23,0.9900000095367432,13.172799110412598
pythia-410m,draw_2,very_high,medium,23,0.9800000190734863,10.22546100616455
pythia-410m,draw_3,low,high,23,0.9900000095367432,13.395113945007324
pythia-410m,draw_3,high,low,23,0.9800000190734863,11.811811447143555
pythia-410m,draw_3,low,control,23,0.9900000095367432,12.993315696716309
pythia-410m,draw_3,very_high,medium,23,0.9800000190734863,10.688645362854004
pythia-1b,draw_1,low,high,13,1.0,12.06979751586914
pythia-1b,draw_1,high,low,13,0.9700000286102295,11.149230003356934
pythia-1b,draw_1,low,control,13,0.9900000095367432,12.008331298828125
pythia-1b,draw_1,very_high,medium,13,1.0,9.903709411621094
pythia-1b,draw_2,low,high,13,1.0,11.923495292663574
pythia-1b,draw_2,high,low,13,0.9700000286102295,11.431124687194824
pythia-1b,draw_2,low,control,13,1.0,12.427600860595703
pythia-1b,draw_2,very_high,medium,13,0.9599999785423279,9.261357307434082
pythia-1b,draw_3,low,high,13,0.9900000095367432,12.031920433044434
pythia-1b,draw_3,high,low,13,0.9599999785423279,10.521346092224121
pythia-1b,draw_3,low,control,13,0.9800000190734863,11.793021202087402
pythia-1b,draw_3,very_high,medium,13,0.9900000095367432,9.58762264251709
pythia-1.4b,draw_1,low,high,21,0.9700000286102295,12.392378807067871
pythia-1.4b,draw_1,high,low,21,0.9599999785423279,11.07291030883789
pythia-1.4b,draw_1,low,control,21,0.9800000190734863,12.459571838378906
pythia-1.4b,draw_1,very_high,medium,21,0.9800000190734863,9.308629989624023
pythia-1.4b,draw_2,low,high,21,0.9900000095367432,12.553589820861816
pythia-1.4b,draw_2,high,low,21,0.9700000286102295,11.069212913513184
pythia-1.4b,draw_2,low,control,21,0.9800000190734863,12.45474624633789
pythia-1.4b,draw_2,very_high,medium,21,0.9900000095367432,9.582301139831543
pythia-1.4b,draw_3,low,high,21,1.0,12.510054588317871
pythia-1.4b,draw_3,high,low,21,0.949999988079071,10.772561073303223
pythia-1.4b,draw_3,low,control,21,0.9900000095367432,12.567453384399414
pythia-1.4b,draw_3,very_high,medium,21,0.949999988079071,9.691461563110352
