model,draw,band,pearson_r_vs_full,pearson_p_vs_full,pearson_r_vs_base,amplitude_ratio,uc_final_prob,fc_final_prob,uc_convergence_layer,fc_convergence_layer,convergence_shift,n_layers
pythia-70m,draw_1,low,0.6354108684323438,0.17515630431586937,0.644801166884652,4.247229615270028,0.42676785588264465,0.1004814654588699,5,4.662222222222222,0.3377777777777782,6
pythia-70m,draw_1,medium,0.7505220478592942,0.08559521276418937,0.7483737504916358,3.195312938411512,0.5413302183151245,0.1694138348102569,5,4.5377777777777775,0.46222222222222253,6
pythia-70m,draw_1,high,0.8031159298120529,0.054329063850114025,0.7959433218764222,2.6118843248716863,0.561691164970398,0.2150520831346511,5,4.475555555555555,0.5244444444444447,6
pythia-70m,draw_1,very_high,0.7941672599157854,0.05919040545633605,0.7904825502794388,2.815658233578907,0.7374987006187439,0.2619276344776153,5,4.315555555555555,0.6844444444444449,6
pythia-70m,draw_1,control,0.7492736229020427,0.0864147783555571,0.7496781912397876,3.095056669845241,0.7305598855018616,0.2360408753156662,5,4.342222222222222,0.6577777777777776,6
pythia-70m,draw_2,low,0.7487147502892366,0.08678280241132919,0.7586511317101137,3.7445478487239434,0.500183641910553,0.1335765123367309,5,4.746666666666667,0.25333333333333297,6
pythia-70m,draw_2,medium,0.7675849998876989,0.07474794899666548,0.7682145401069564,3.3574443234167872,0.5616389513015747,0.167281687259674,5,4.666666666666667,0.33333333333333304,6
pythia-70m,draw_2,high,0.752720180418205,0.08416071596857543,0.7520792458968313,3.1022395519650616,0.6235532164573669,0.2010009884834289,5,4.48,0.5199999999999996,6
pythia-70m,draw_2,very_high,0.8311401812584991,0.04036305367340808,0.8304334193338709,2.6142683053404068,0.7393931150436401,0.2828298509120941,5,4.395555555555555,0.6044444444444448,6
pythia-70m,draw_2,control,0.7913171452909831,0.06077888459320356,0.7954485771323723,2.840107629598337,0.6856302618980408,0.241409957408905,5,4.382222222222223,0.6177777777777766,6
pythia-70m,draw_3,low,0.7206941709247106,0.10612305151437483,0.7452879636071402,4.0243251587304565,0.3916807174682617,0.0973282977938652,5,4.764444444444444,0.23555555555555596,6
pythia-70m,draw_3,medium,0.7520217843521599,0.08461530671449247,0.755187259470771,3.2398472714042064,0.49651700258255005,0.1532532125711441,5,4.68,0.3200000000000003,6
pythia-70m,draw_3,high,0.7623123085219623,0.07802902282077526,0.7595877122030537,3.0431979667125493,0.6180440187454224,0.2030903100967407,5,4.524444444444445,0.4755555555555553,6
pythia-70m,draw_3,very_high,0.8187022598321736,0.046323779905026743,0.8207571793189279,2.6208112598444404,0.7876327633857727,0.3005301356315613,5,4.328888888888889,0.6711111111111112,6
pythia-70m,draw_3,control,0.7979077090330169,0.05713508576026778,0.7889246995374061,2.6607317720570998,0.7429682612419128,0.2792345583438873,5,4.315555555555555,0.6844444444444449,6
pythia-160m,draw_1,low,0.8734958712294418,0.0002055596865309198,0.8784788584498116,2.4401942750364034,0.9599531888961792,0.3933921158313751,11,9.551111111111112,1.448888888888888,12
pythia-160m,draw_1,medium,0.9088226326772488,4.251281150666211e-05,0.9076689239399258,2.151054938892908,0.9829543828964233,0.4569638669490814,11,9.328888888888889,1.6711111111111112,12
pythia-160m,draw_1,high,0.930668588070481,1.1221322654304133e-05,0.9286173594049225,1.9220673382046498,0.986145555973053,0.5130650401115417,11,9.0,2.0,12
pythia-160m,draw_1,very_high,0.9436868433963105,4.055985585462328e-06,0.9424562960234657,1.7868738315821049,0.9948890805244446,0.5567763447761536,11,8.71111111111111,2.2888888888888896,12
pythia-160m,draw_1,control,0.930109504129685,1.166994406694827e-05,0.9292765899739693,1.9079365831018686,0.9894251823425293,0.5185838937759399,11,8.902222222222223,2.097777777777777,12
pythia-160m,draw_2,low,0.8758025635789402,0.00018824800463476357,0.8800380671769379,2.3815293130644726,0.9688360095024109,0.4068125486373901,11,9.582222222222224,1.4177777777777756,12
pythia-160m,draw_2,medium,0.9068537540652692,4.714489265393442e-05,0.9088465384788813,2.1755565116363313,0.9879894852638245,0.4541318416595459,11,9.053333333333333,1.9466666666666672,12
pythia-160m,draw_2,high,0.9310031699878991,1.0959436498520781e-05,0.931401707334701,1.9376737024093857,0.9834669828414917,0.5075503587722778,11,8.933333333333334,2.0666666666666664,12
pythia-160m,draw_2,very_high,0.9421915668710763,4.6120790103143874e-06,0.9426063287572353,1.781827657905158,0.9866857528686523,0.5537492632865906,11,8.71111111111111,2.2888888888888896,12
pythia-160m,draw_2,control,0.9297963986056795,1.1927304329776668e-05,0.9315295038583955,1.9208214405891078,0.9911261796951294,0.5159907937049866,11,8.684444444444445,2.315555555555555,12
pythia-160m,draw_3,low,0.8774899221667192,0.00017632238822035487,0.8836782366696658,2.4084838740298453,0.9769555926322937,0.4056309461593628,11,9.524444444444445,1.4755555555555553,12
pythia-160m,draw_3,medium,0.9128911708595175,3.407559082674195e-05,0.9128261316186952,2.167436518787323,0.9815796613693237,0.4528758525848388,11,9.235555555555557,1.7644444444444431,12
pythia-160m,draw_3,high,0.9315016070060258,1.0578276066433266e-05,0.9337431220585726,1.9691427093739589,0.9885396361351013,0.502015233039856,11,8.986666666666666,2.0133333333333336,12
pythia-160m,draw_3,very_high,0.9406598093476133,5.24265748261312e-06,0.9386743706827023,1.8084754324539873,0.9909834861755371,0.5479662418365479,11,8.533333333333333,2.466666666666667,12
pythia-160m,draw_3,control,0.9317037843238325,1.0426689090403895e-05,0.9308902175301006,1.9061674765824685,0.9864615201950073,0.5175104141235352,11,8.488888888888889,2.511111111111111,12
pythia-410m,draw_1,low,0.9396309780295635,1.0100275615475604e-11,0.9395942356717604,1.6351592374783668,0.9468311667442322,0.5790452361106873,22,21.15111111111111,0.8488888888888901,24
pythia-410m,draw_1,medium,0.9301116314429746,4.834368599679528e-11,0.9301244198052955,1.7574573131999873,0.9792490601539612,0.5571964979171753,22,19.871111111111112,2.1288888888888877,24
pythia-410m,draw_1,high,0.9550517350407163,4.2327600941756265e-13,0.9555247036699519,1.8308404449100237,0.9813078045845032,0.5359876155853271,21,18.835555555555555,2.1644444444444453,24
pythia-410m,draw_1,very_high,0.9700514564924652,5.215051297698352e-15,0.9729840834424435,1.9184221519156317,0.9807934761047363,0.5112500786781311,20,17.364444444444445,2.6355555555555554,24
pythia-410m,draw_1,control,0.9660793523803826,2.0147213689723905e-14,0.9675858492070608,1.9977886999289194,0.9774229526519775,0.4892524182796478,21,17.782222222222224,3.2177777777777763,24
pythia-410m,draw_2,low,0.9330320379946727,3.064871267224252e-11,0.9320981901092439,1.510814174763399,0.9575545191764832,0.6338003277778625,22,20.773333333333333,1.2266666666666666,24
pythia-410m,draw_2,medium,0.9364160350737063,1.760465510277539e-11,0.9343854460308152,1.7734167167638235,0.9714688062667847,0.5477949976921082,22,20.093333333333334,1.9066666666666663,24
pythia-410m,draw_2,high,0.9497059842037046,1.4210141734332561e-12,0.9519296361872531,1.8402606082633928,0.9684401154518127,0.5262516140937805,21,18.662222222222223,2.3377777777777773,24
pythia-410m,draw_2,very_high,0.9676729806925901,1.1955001607515067e-14,0.9700596936368906,1.9510012826230607,0.9750543832778931,0.4997712671756744,20,17.404444444444444,2.5955555555555563,24
pythia-410m,draw_2,control,0.9683391695059672,9.537118620435736e-15,0.9713903617714896,2.0221419809234624,0.9779725670814514,0.4836319983005523,21,17.56888888888889,3.431111111111111,24
pythia-410m,draw_3,low,0.941455680960908,7.268369852188844e-12,0.9350309205279306,1.5561194368112954,0.9666619896888733,0.6212003827095032,22,21.186666666666667,0.8133333333333326,24
pythia-410m,draw_3,medium,0.9304520607051248,4.588927871322486e-11,0.9336756932191608,1.7545305237941575,0.9693194627761841,0.5524665713310242,22,20.284444444444443,1.7155555555555573,24
pythia-410m,draw_3,high,0.9478842565698014,2.083865886559235e-12,0.9510416402613459,1.8035157777632036,0.9736208915710449,0.5398460626602173,21,18.546666666666667,2.453333333333333,24
pythia-410m,draw_3,very_high,0.9705678764932845,4.317224044191088e-15,0.9722092171501213,1.923119533124981,0.9792097806930542,0.5091778039932251,20,17.475555555555555,2.5244444444444447,24
pythia-410m,draw_3,control,0.9664355908520503,1.7967931521037224e-14,0.9679120750028435,1.8878722901299025,0.9672713279724121,0.5123605728149414,21,17.782222222222224,3.2177777777777763,24
pythia-1b,draw_1,low,0.9746921432343175,1.667728791997168e-10,0.9787929706954202,1.4916176160756347,0.9819716811180115,0.6583266854286194,14,12.48,1.5199999999999996,16
pythia-1b,draw_1,medium,0.9906442413854674,1.641362272782678e-13,0.9905367380822865,1.4004333381482017,0.9997305870056152,0.7138723134994507,12,11.817777777777778,0.18222222222222229,16
pythia-1b,draw_1,high,0.9912426151765314,1.0350398844851432e-13,0.991430361925826,1.5816251264064587,0.993573784828186,0.6281980276107788,12,11.36888888888889,0.6311111111111103,16
pythia-1b,draw_1,very_high,0.9837299029270354,7.75280796214508e-12,0.9855140419819599,1.7051867248267751,0.9966563582420349,0.5844851732254028,12,11.013333333333334,0.9866666666666664,16
pythia-1b,draw_1,control,0.9836425919615244,8.046911689783499e-12,0.9885441709634395,1.7440771321211541,0.9995480179786682,0.5731099843978882,12,11.04888888888889,0.9511111111111106,16
pythia-1b,draw_2,low,0.9806800827089456,2.5601352926751835e-11,0.9803979603956388,1.3883158425169249,0.982010006904602,0.7073390483856201,14,12.382222222222222,1.6177777777777784,16
pythia-1b,draw_2,medium,0.9878068079972507,1.0404577444813901e-12,0.9886160534434187,1.5458835896183047,0.9892855882644653,0.639948308467865,12,11.644444444444444,0.35555555555555607,16
pythia-1b,draw_2,high,0.9939532429079417,7.79997336188417e-15,0.9935748514254148,1.4349697213955026,0.993198037147522,0.692138671875,12,11.422222222222222,0.5777777777777775,16
pythia-1b,draw_2,very_high,0.9888715676797412,5.503767209041702e-13,0.9874362206863057,1.5475519815976029,0.9947929382324219,0.6428171396255493,12,11.14222222222222,0.8577777777777804,16
pythia-1b,draw_2,control,0.9859488952369814,2.794129641220335e-12,0.9886636726863913,1.6315700827683652,0.997161328792572,0.6111667156219482,12,11.12,0.8800000000000008,16
pythia-1b,draw_3,low,0.9809589100928053,2.3141368823222923e-11,0.9795182433840521,1.6199649998363204,0.9910609126091003,0.6117792129516602,14,12.346666666666666,1.6533333333333342,16
pythia-1b,draw_3,medium,0.9863131592711459,2.3270908818529265e-12,0.9863281790175153,1.5149967805541824,0.9901144504547119,0.6535422801971436,14,11.80888888888889,2.191111111111111,16
pythia-1b,draw_3,high,0.9920044519003917,5.4846027588894716e-14,0.9937209574742535,1.5141957913106177,0.9923727512359619,0.6553794145584106,12,11.266666666666667,0.7333333333333325,16
pythia-1b,draw_3,very_high,0.9843809118938919,5.835320297386974e-12,0.9845533876541972,1.6694294114163184,0.9979827404022217,0.5977987051010132,12,10.88888888888889,1.1111111111111107,16
pythia-1b,draw_3,control,0.9811651631745343,2.1454400900019618e-11,0.9900908421265611,1.7416057738083106,0.9932366013526917,0.5702993273735046,12,10.977777777777778,1.0222222222222221,16
pythia-1.4b,draw_1,low,0.880144152368326,1.4370422350619302e-08,0.8852812909224168,1.9639423156455316,0.9729824066162109,0.4954231083393097,23,21.27555555555556,1.7244444444444404,24
pythia-1.4b,draw_1,medium,0.9135534669038134,4.6345717678118264e-10,0.9227739891688675,2.0571500353561434,0.9921995997428894,0.482317566871643,22,19.11555555555556,2.8844444444444406,24
pythia-1.4b,draw_1,high,0.957102245002342,2.556945567904291e-13,0.9558284983778137,1.8425618548090588,0.9908050298690796,0.5377323031425476,22,16.63111111111111,5.36888888888889,24
pythia-1.4b,draw_1,very_high,0.9744061868226416,9.44894720226298e-16,0.9787176284502298,1.9230716124137204,0.9945125579833984,0.517147958278656,16,14.27111111111111,1.7288888888888891,24
pythia-1.4b,draw_1,control,0.9798958153193756,6.809025485202747e-17,0.979002681553678,1.7652936497784832,0.9764263033866882,0.5531240105628967,16,15.302222222222222,0.6977777777777785,24
pythia-1.4b,draw_2,low,0.9165982699431484,3.1695746912759583e-10,0.9192110109543191,1.8506676327584206,0.9761631488800049,0.5274654030799866,23,21.61777777777778,1.3822222222222216,24
pythia-1.4b,draw_2,medium,0.9417948114599635,6.829292693562296e-12,0.9516274213309328,1.782234186170809,0.9808477163314819,0.5503472685813904,23,19.702222222222225,3.2977777777777746,24
pythia-1.4b,draw_2,high,0.9731101041954616,1.6172216331864766e-15,0.9805184146631993,1.7917486473997217,0.9789812564849854,0.5463831424713135,22,16.524444444444445,5.475555555555555,24
pythia-1.4b,draw_2,very_high,0.9791554009863417,1.0101269788771327e-16,0.9836961699424199,1.8013382449779072,0.9862901568412781,0.5475319027900696,16,14.724444444444444,1.275555555555556,24
pythia-1.4b,draw_2,control,0.9768449780001269,3.1761528731741093e-16,0.9797738927476238,1.8410068763162906,0.9877710342407227,0.5365384817123413,22,15.088888888888889,6.911111111111111,24
pythia-1.4b,draw_3,low,0.9468132881993716,2.593373347614907e-12,0.9511872944496962,1.9810093499542405,0.9783546328544617,0.4938667416572571,23,21.448888888888888,1.551111111111112,24
pythia-1.4b,draw_3,medium,0.9520285887819813,8.539825375879492e-13,0.9637477838345968,1.9364582104184425,0.9869693517684937,0.5096775889396667,23,19.364444444444445,3.6355555555555554,24
