model,band,n_in_any_draw,n_in_1_draw,n_in_2_draws,n_in_3_draws,frac_in_1,frac_in_2,frac_in_3
pythia-70m,low,452,67,55,330,0.14823008849557523,0.12168141592920353,0.7300884955752213
pythia-70m,medium,472,79,65,328,0.1673728813559322,0.13771186440677965,0.6949152542372882
pythia-70m,high,487,72,67,348,0.14784394250513347,0.1375770020533881,0.7145790554414785
pythia-70m,very_high,489,77,55,357,0.1574642126789366,0.11247443762781185,0.7300613496932515
pythia-70m,control,511,96,70,345,0.18786692759295498,0.136986301369863,0.675146771037182
pythia-160m,low,1996,598,438,960,0.2995991983967936,0.21943887775551102,0.48096192384769537
pythia-160m,medium,2091,682,475,934,0.32615973218555716,0.22716403634624582,0.446676231468197
pythia-160m,high,1996,670,449,877,0.33567134268537074,0.2249498997995992,0.4393787575150301
pythia-160m,very_high,1911,661,417,833,0.3458922030350602,0.21821036106750394,0.4358974358974359
pythia-160m,control,1942,645,419,878,0.3321318228630278,0.2157569515962925,0.45211122554067973
pythia-410m,low,6369,2811,1558,2000,0.44135657089024966,0.2446223897001099,0.31402103940964043
pythia-410m,medium,6209,2837,1515,1857,0.4569173779996779,0.24400064422612336,0.29908197777419876
pythia-410m,high,5664,2629,1392,1643,0.464159604519774,0.2457627118644068,0.2900776836158192
pythia-410m,very_high,5430,2555,1293,1582,0.4705340699815838,0.23812154696132598,0.29134438305709026
pythia-410m,control,5560,2602,1352,1606,0.4679856115107914,0.24316546762589927,0.2888489208633094
pythia-1b,low,1485,580,393,512,0.39057239057239057,0.26464646464646463,0.3447811447811448
pythia-1b,medium,1494,655,361,478,0.4384203480589023,0.24163319946452477,0.31994645247657294
pythia-1b,high,1537,679,404,454,0.4417696811971373,0.26284970722186074,0.29538061158100193
pythia-1b,very_high,1324,559,314,451,0.42220543806646527,0.23716012084592145,0.3406344410876133
pythia-1b,control,1366,565,347,454,0.4136163982430454,0.2540263543191801,0.3323572474377745
pythia-1.4b,low,4344,2139,1054,1151,0.4924033149171271,0.24263351749539594,0.26496316758747696
pythia-1.4b,medium,4311,2212,1054,1045,0.5131060078868012,0.24449083739271632,0.2424031547204825
pythia-1.4b,high,3738,1906,937,895,0.5098983413590155,0.2506688068485821,0.23943285179240237
pythia-1.4b,very_high,3632,1948,927,757,0.5363436123348018,0.25523127753303965,0.2084251101321586
pythia-1.4b,control,3800,1978,984,838,0.5205263157894737,0.25894736842105265,0.22052631578947368
