model,test_band,full_circuit_acc,universal_acc,gap,acc_gte4,gap_closed_gte4,acc_gte3,gap_closed_gte3,acc_gte2,gap_closed_gte2,acc_gte1,gap_closed_gte1,source_level_acc,edge_level_acc,source_edge_diff,critical_layer_group,drop_early,drop_middle,drop_late
pythia-70m,low,0.2429629629629629,0.1822222222222222,0.060740740740740706,0.2162962962962963,0.752659574468086,0.24740740740740738,1.566033434650456,0.28888888888888886,2.206914893617023,0.2933333333333333,2.546352583586628,0.2992592592592593,0.1822222222222222,0.11703703703703705,late,0.00444444444444438,0.019259259259259198,0.03407407407407401
pythia-70m,medium,0.3481481481481481,0.2607407407407407,0.08740740740740738,0.29185185185185175,0.2773626917367639,0.33777777777777773,0.9504948045522023,0.38518518518518513,1.57897080653142,0.38666666666666655,1.6004824344383968,0.4177777777777778,0.2607407407407407,0.1570370370370371,late,0.010370370370370327,0.04148148148148143,0.05629629629629623
pythia-70m,high,0.4162962962962963,0.2903703703703704,0.12592592592592589,0.3511111111111111,0.4139002481871737,0.3955555555555556,0.772317856228085,0.46222222222222226,1.3027265259978271,0.4888888888888889,1.5572234832760705,0.522962962962963,0.29037037037037033,0.2325925925925926,late,0.013333333333333308,0.05777777777777776,0.0622222222222222
pythia-70m,very_high,0.5496296296296297,0.3851851851851851,0.16444444444444462,0.4711111111111111,0.5822677382996991,0.5362962962962963,0.9890141960068695,0.5881481481481482,1.334686292400171,0.6133333333333333,1.4649326427651346,0.6933333333333334,0.38518518518518513,0.3081481481481481,middle,0.025185185185185237,0.0933333333333334,0.051851851851851906
pythia-70m,control,0.525925925925926,0.354074074074074,0.17185185185185203,0.4281481481481481,0.43964378926519254,0.47111111111111104,0.6878823359501526,0.5407407407407407,1.0947058398753826,0.5866666666666667,1.3677001557712736,0.6325925925925926,0.35407407407407404,0.27851851851851855,middle,0.022222222222222327,0.08444444444444454,0.07407407407407417
pythia-160m,low,0.8903703703703704,0.482962962962963,0.4074074074074074,0.7748148148148148,0.7056351154531059,0.8785185185185185,0.9778642117023985,0.9155555555555556,1.0666369840291834,0.9303703703703704,1.1004612927597663,0.9111111111111111,0.482962962962963,0.42814814814814817,late,0.050370370370370364,0.11259259259259258,0.16740740740740745
pythia-160m,medium,0.9111111111111112,0.5911111111111111,0.32000000000000006,0.8355555555555556,0.7451452212090507,0.9170370370370371,1.0214032421479227,0.9466666666666667,1.1085705075066776,0.9511111111111111,1.1285345859813944,0.9481481481481482,0.5911111111111111,0.35703703703703704,late,0.054814814814814906,0.09925925925925934,0.11851851851851862
pythia-160m,high,0.9229629629629628,0.668148148148148,0.2548148148148147,0.8740740740740741,0.7932431647538131,0.9318518518518518,1.046805283644103,0.9392592592592592,1.0686559740141213,0.9585185185185185,1.1539564226443646,0.9614814814814815,0.668148148148148,0.29333333333333333,middle,0.0474074074074072,0.09777777777777756,0.07999999999999981
pythia-160m,very_high,0.9511111111111112,0.7051851851851852,0.245925925925926,0.9022222222222221,0.7962506364536598,0.9422222222222222,0.9617646705074385,0.9570370370370371,1.0210781424774182,0.9777777777777779,1.1038772556519085,0.9748148148148149,0.7051851851851852,0.2696296296296296,middle,0.06962962962962975,0.0814814814814816,0.056296296296296434
pythia-160m,control,0.9362962962962964,0.6444444444444445,0.2918518518518519,0.8814814814814814,0.8077936581495825,0.9437037037037038,1.0379413242631073,0.96,1.0891382489529553,0.965925925925926,1.105809021676725,0.9748148148148149,0.6444444444444445,0.33037037037037037,middle,0.09333333333333342,0.09481481481481495,0.07407407407407418
