model,swap_type,band,peak_layer,unpatched_acc,base_faithfulness,source_iia,n_pairs
pythia-70m,target_token,low,5,0.27000001072883606,0.0,0.27000001072883606,100
pythia-70m,target_token,medium,5,0.4399999976158142,0.0,0.4300000071525574,100
pythia-70m,target_token,high,5,0.49000000953674316,0.0,0.4300000071525574,100
pythia-70m,target_token,very_high,5,0.6899999976158142,0.0,0.6100000143051147,100
pythia-70m,target_token,control,5,0.6000000238418579,0.0,0.5799999833106995,100
pythia-70m,band,low→high,5,0.28999999165534973,0.0,0.44999998807907104,100
pythia-70m,band,high→low,5,0.44999998807907104,0.0,0.28999999165534973,100
pythia-70m,band,low→control,5,0.28999999165534973,0.0,0.6100000143051147,100
pythia-70m,band,very_high→medium,5,0.6200000047683716,0.0,0.36000001430511475,100
pythia-160m,target_token,low,11,0.9300000071525574,0.0,0.9200000166893005,100
pythia-160m,target_token,medium,11,0.9599999785423279,0.0,0.949999988079071,100
pythia-160m,target_token,high,11,0.9700000286102295,0.0,0.9700000286102295,100
pythia-160m,target_token,very_high,11,0.949999988079071,0.0,0.9900000095367432,100
pythia-160m,target_token,control,11,0.9800000190734863,0.0,0.9900000095367432,100
pythia-160m,band,low→high,11,0.9399999976158142,0.0,0.949999988079071,100
pythia-160m,band,high→low,11,0.949999988079071,0.0,0.9399999976158142,100
pythia-160m,band,low→control,11,0.9399999976158142,0.0,1.0,100
pythia-160m,band,very_high→medium,11,0.9800000190734863,0.0,0.9399999976158142,100
pythia-410m,target_token,low,23,0.9700000286102295,0.0,0.9800000190734863,100
pythia-410m,target_token,medium,23,0.9800000190734863,0.0,1.0,100
pythia-410m,target_token,high,23,0.9800000190734863,0.0,1.0,100
pythia-410m,target_token,very_high,23,0.9900000095367432,0.0,0.9800000190734863,100
pythia-410m,target_token,control,23,1.0,0.0,0.9900000095367432,100
pythia-410m,band,low→high,23,0.9599999785423279,0.0,0.9900000095367432,100
pythia-410m,band,high→low,23,0.9900000095367432,0.0,0.9599999785423279,100
pythia-410m,band,low→control,23,0.9599999785423279,0.0,0.9900000095367432,100
pythia-410m,band,very_high→medium,23,0.9800000190734863,0.0,1.0,100
pythia-1b,target_token,low,13,0.9900000095367432,0.0,0.949999988079071,100
pythia-1b,target_token,medium,13,0.9900000095367432,0.0,1.0,100
pythia-1b,target_token,high,13,0.9900000095367432,0.0,0.9800000190734863,100
pythia-1b,target_token,very_high,13,0.9800000190734863,0.0,0.9800000190734863,100
pythia-1b,target_token,control,13,0.9900000095367432,0.0,1.0,100
pythia-1b,band,low→high,13,0.9700000286102295,0.0,1.0,100
pythia-1b,band,high→low,13,0.9900000095367432,0.0,0.9700000286102295,100
pythia-1b,band,low→control,13,0.9700000286102295,0.0,0.9900000095367432,100
pythia-1b,band,very_high→medium,13,0.9800000190734863,0.0,1.0,100
pythia-1.4b,target_token,low,21,0.949999988079071,0.0,0.9399999976158142,100
pythia-1.4b,target_token,medium,21,0.9700000286102295,0.0,0.9800000190734863,100
pythia-1.4b,target_token,high,21,0.9800000190734863,0.0,0.9700000286102295,100
pythia-1.4b,target_token,very_high,21,1.0,0.0,0.9700000286102295,100
pythia-1.4b,target_token,control,21,0.9800000190734863,0.0,1.0,100
pythia-1.4b,band,low→high,21,0.9399999976158142,0.0,0.9700000286102295,100
pythia-1.4b,band,high→low,21,0.9599999785423279,0.0,0.9599999785423279,100
pythia-1.4b,band,low→control,21,0.9399999976158142,0.0,0.9800000190734863,100
pythia-1.4b,band,very_high→medium,21,0.9800000190734863,0.0,0.9800000190734863,100
