model,role,n_role_universal,n_role_non_universal,n_not_role_universal,n_not_role_non_universal,frac_in_universal,frac_in_non_universal,odds_ratio,ci_low,ci_high,p_value,significant
pythia-70m,induction,3,0,33,12,0.08333333333333333,0.0,inf,,,0.5629047178538391,False
pythia-70m,previous_token,11,0,25,12,0.3055555555555556,0.0,inf,,,0.04423390524190638,True
pythia-70m,bos_sink,8,9,28,3,0.2222222222222222,0.75,0.09523809523809523,0.02073157343461736,0.43751116205367313,0.0017038770071232674,True
pythia-70m,diffuse,14,3,22,9,0.3888888888888889,0.25,1.9090909090909092,0.4396219836427764,8.290368168064745,0.49694685172259945,False
pythia-160m,induction,5,0,75,64,0.0625,0.0,inf,,,0.06582945240422017,False
pythia-160m,previous_token,17,3,63,61,0.2125,0.046875,5.4867724867724865,1.530269263535398,19.67279421926856,0.0064403757102150325,True
pythia-160m,bos_sink,33,49,47,15,0.4125,0.765625,0.21493703864524533,0.10359747924860238,0.4459368212109364,2.203533652352736e-05,True
pythia-160m,diffuse,25,12,55,52,0.3125,0.1875,1.9696969696969697,0.8976763637182794,4.321943084658298,0.12415305844270283,False
pythia-410m,induction,7,1,152,224,0.0440251572327044,0.0044444444444444444,10.31578947368421,1.2563974794445651,84.69892228088423,0.009984534722677917,True
pythia-410m,previous_token,17,7,142,218,0.1069182389937107,0.03111111111111111,3.728370221327968,1.5079261764341285,9.218451622185496,0.004391219633353879,True
pythia-410m,bos_sink,79,162,80,63,0.4968553459119497,0.72,0.3840277777777778,0.2508550981922421,0.587898492666549,1.0481352313050285e-05,True
pythia-410m,diffuse,56,55,103,170,0.3522012578616352,0.24444444444444444,1.6804942630185349,1.0765181619050475,2.623328679416465,0.022873687907819178,True
pythia-1b,induction,4,0,54,70,0.06896551724137931,0.0,inf,,,0.03977034120734909,True
pythia-1b,previous_token,10,1,48,69,0.1724137931034483,0.014285714285714285,14.375,1.7808265771232257,116.03635505811596,0.0024837668125837413,True
pythia-1b,bos_sink,23,49,35,21,0.39655172413793105,0.7,0.2816326530612245,0.1352381554429845,0.5864983222411924,0.0006913138606343067,True
pythia-1b,diffuse,21,20,37,50,0.3620689655172414,0.2857142857142857,1.4189189189189189,0.6733169653250937,2.9901680815274703,0.4469706349153164,False
pythia-1.4b,induction,7,0,112,265,0.058823529411764705,0.0,inf,,,0.0002422819227123531,True
pythia-1.4b,previous_token,14,3,105,262,0.11764705882352941,0.011320754716981131,11.644444444444444,3.278797047710667,41.35452254186557,1.1666819557051565e-05,True
pythia-1.4b,bos_sink,47,211,72,54,0.3949579831932773,0.7962264150943397,0.1670616113744076,0.10402306293208112,0.26830186699305675,2.964925489559353e-14,True
pythia-1.4b,diffuse,51,51,68,214,0.42857142857142855,0.19245283018867926,3.1470588235294117,1.9581985665043495,5.057699156850202,2.8402826551525934e-06,True
