model,test_band,critical_k,target_acc,full_acc
pythia-70m,low,3,0.23081481481481475,0.2429629629629629
pythia-70m,medium,3,0.33074074074074067,0.3481481481481481
pythia-70m,high,3,0.39548148148148143,0.4162962962962963
pythia-70m,very_high,3,0.5221481481481481,0.5496296296296297
pythia-70m,control,2,0.4996296296296297,0.525925925925926
pythia-160m,low,3,0.8458518518518519,0.8903703703703704
pythia-160m,medium,3,0.8655555555555556,0.9111111111111112
pythia-160m,high,3,0.8768148148148146,0.9229629629629628
pythia-160m,very_high,3,0.9035555555555557,0.9511111111111112
pythia-160m,control,3,0.8894814814814815,0.9362962962962964
pythia-410m,low,3,0.8993333333333334,0.9466666666666668
pythia-410m,medium,3,0.926074074074074,0.9748148148148148
pythia-410m,high,4,0.919037037037037,0.9674074074074074
pythia-410m,very_high,4,0.9148148148148146,0.9629629629629628
pythia-410m,control,4,0.9204444444444443,0.9688888888888888
pythia-1b,low,3,0.8599259259259259,0.9051851851851852
pythia-1b,medium,3,0.888074074074074,0.9348148148148148
pythia-1b,high,3,0.8894814814814815,0.9362962962962964
pythia-1b,very_high,3,0.8894814814814815,0.9362962962962964
pythia-1b,control,3,0.8937037037037037,0.9407407407407408
pythia-1.4b,low,3,0.7585925925925926,0.7985185185185185
pythia-1.4b,medium,3,0.8162962962962962,0.8592592592592592
pythia-1.4b,high,3,0.8500740740740741,0.8948148148148148
pythia-1.4b,very_high,3,0.8725925925925925,0.9185185185185184
pythia-1.4b,control,3,0.8782222222222221,0.9244444444444444
