model,draw,band,convergence_layer,final_prob_correct,n_layers,frac_convergence
pythia-70m,draw_1,low,5,0.42676785588264465,6,0.8333333333333334
pythia-70m,draw_1,medium,5,0.5413302183151245,6,0.8333333333333334
pythia-70m,draw_1,high,5,0.561691164970398,6,0.8333333333333334
pythia-70m,draw_1,very_high,5,0.7374987006187439,6,0.8333333333333334
pythia-70m,draw_1,control,5,0.7305598855018616,6,0.8333333333333334
pythia-70m,draw_2,low,5,0.500183641910553,6,0.8333333333333334
pythia-70m,draw_2,medium,5,0.5616389513015747,6,0.8333333333333334
pythia-70m,draw_2,high,5,0.6235532164573669,6,0.8333333333333334
pythia-70m,draw_2,very_high,5,0.7393931150436401,6,0.8333333333333334
pythia-70m,draw_2,control,5,0.6856302618980408,6,0.8333333333333334
pythia-70m,draw_3,low,5,0.3916807174682617,6,0.8333333333333334
pythia-70m,draw_3,medium,5,0.49651700258255005,6,0.8333333333333334
pythia-70m,draw_3,high,5,0.6180440187454224,6,0.8333333333333334
pythia-70m,draw_3,very_high,5,0.7876327633857727,6,0.8333333333333334
pythia-70m,draw_3,control,5,0.7429682612419128,6,0.8333333333333334
pythia-160m,draw_1,low,11,0.9599531888961792,12,0.9166666666666666
pythia-160m,draw_1,medium,11,0.9829543828964233,12,0.9166666666666666
pythia-160m,draw_1,high,11,0.986145555973053,12,0.9166666666666666
pythia-160m,draw_1,very_high,11,0.9948890805244446,12,0.9166666666666666
pythia-160m,draw_1,control,11,0.9894251823425293,12,0.9166666666666666
pythia-160m,draw_2,low,11,0.9688360095024109,12,0.9166666666666666
pythia-160m,draw_2,medium,11,0.9879894852638245,12,0.9166666666666666
pythia-160m,draw_2,high,11,0.9834669828414917,12,0.9166666666666666
pythia-160m,draw_2,very_high,11,0.9866857528686523,12,0.9166666666666666
pythia-160m,draw_2,control,11,0.9911261796951294,12,0.9166666666666666
pythia-160m,draw_3,low,11,0.9769555926322937,12,0.9166666666666666
pythia-160m,draw_3,medium,11,0.9815796613693237,12,0.9166666666666666
pythia-160m,draw_3,high,11,0.9885396361351013,12,0.9166666666666666
pythia-160m,draw_3,very_high,11,0.9909834861755371,12,0.9166666666666666
pythia-160m,draw_3,control,11,0.9864615201950073,12,0.9166666666666666
pythia-410m,draw_1,low,22,0.9468311667442322,24,0.9166666666666666
pythia-410m,draw_1,medium,22,0.9792490601539612,24,0.9166666666666666
pythia-410m,draw_1,high,21,0.9813078045845032,24,0.875
pythia-410m,draw_1,very_high,20,0.9807934761047363,24,0.8333333333333334
pythia-410m,draw_1,control,21,0.9774229526519775,24,0.875
pythia-410m,draw_2,low,22,0.9575545191764832,24,0.9166666666666666
pythia-410m,draw_2,medium,22,0.9714688062667847,24,0.9166666666666666
pythia-410m,draw_2,high,21,0.9684401154518127,24,0.875
pythia-410m,draw_2,very_high,20,0.9750543832778931,24,0.8333333333333334
pythia-410m,draw_2,control,21,0.9779725670814514,24,0.875
pythia-410m,draw_3,low,22,0.9666619896888733,24,0.9166666666666666
pythia-410m,draw_3,medium,22,0.9693194627761841,24,0.9166666666666666
pythia-410m,draw_3,high,21,0.9736208915710449,24,0.875
pythia-410m,draw_3,very_high,20,0.9792097806930542,24,0.8333333333333334
pythia-410m,draw_3,control,21,0.9672713279724121,24,0.875
pythia-1b,draw_1,low,14,0.9819716811180115,16,0.875
pythia-1b,draw_1,medium,12,0.9997305870056152,16,0.75
pythia-1b,draw_1,high,12,0.993573784828186,16,0.75
pythia-1b,draw_1,very_high,12,0.9966563582420349,16,0.75
pythia-1b,draw_1,control,12,0.9995480179786682,16,0.75
pythia-1b,draw_2,low,14,0.982010006904602,16,0.875
pythia-1b,draw_2,medium,12,0.9892855882644653,16,0.75
pythia-1b,draw_2,high,12,0.993198037147522,16,0.75
pythia-1b,draw_2,very_high,12,0.9947929382324219,16,0.75
pythia-1b,draw_2,control,12,0.997161328792572,16,0.75
pythia-1b,draw_3,low,14,0.9910609126091003,16,0.875
pythia-1b,draw_3,medium,14,0.9901144504547119,16,0.875
pythia-1b,draw_3,high,12,0.9923727512359619,16,0.75
pythia-1b,draw_3,very_high,12,0.9979827404022217,16,0.75
pythia-1b,draw_3,control,12,0.9932366013526917,16,0.75
pythia-1.4b,draw_1,low,23,0.9729824066162109,24,0.9583333333333334
pythia-1.4b,draw_1,medium,22,0.9921995997428894,24,0.9166666666666666
pythia-1.4b,draw_1,high,22,0.9908050298690796,24,0.9166666666666666
pythia-1.4b,draw_1,very_high,16,0.9945125579833984,24,0.6666666666666666
pythia-1.4b,draw_1,control,16,0.9764263033866882,24,0.6666666666666666
pythia-1.4b,draw_2,low,23,0.9761631488800049,24,0.9583333333333334
pythia-1.4b,draw_2,medium,23,0.9808477163314819,24,0.9583333333333334
pythia-1.4b,draw_2,high,22,0.9789812564849854,24,0.9166666666666666
pythia-1.4b,draw_2,very_high,16,0.9862901568412781,24,0.6666666666666666
pythia-1.4b,draw_2,control,22,0.9877710342407227,24,0.9166666666666666
pythia-1.4b,draw_3,low,23,0.9783546328544617,24,0.9583333333333334
pythia-1.4b,draw_3,medium,23,0.9869693517684937,24,0.9583333333333334
pythia-1.4b,draw_3,high,22,0.9772942662239075,24,0.9166666666666666
pythia-1.4b,draw_3,very_high,16,0.9681921601295471,24,0.6666666666666666
pythia-1.4b,draw_3,control,22,0.9723044037818909,24,0.9166666666666666
