model,draw,n_universal,n_total_possible,universal_fraction_of_mean,mean_band_edges,n_low,n_medium,n_high,n_very_high,n_control
pythia-70m,draw_1,297,1324,0.72509765625,409.6,380,395,414,424,435
pythia-70m,draw_2,297,1324,0.7351485148514851,404.0,396,392,405,417,410
pythia-70m,draw_3,311,1324,0.7508450024142926,414.2,391,406,431,417,426
pythia-160m,draw_1,694,11467,0.4943724177233224,1403.8,1463,1446,1360,1358,1392
pythia-160m,draw_2,723,11467,0.5065863228699551,1427.2,1483,1513,1454,1306,1380
pythia-160m,draw_3,723,11467,0.5206682990061933,1388.6,1408,1475,1385,1330,1345
pythia-410m,draw_1,1283,80581,0.3603527693517582,3560.4,3957,3809,3480,3131,3425
pythia-410m,draw_2,1301,80581,0.36477317333034265,3566.6,3848,3709,3483,3476,3317
pythia-410m,draw_3,1324,80581,0.36608969750594483,3616.6,4122,3920,3379,3280,3382
pythia-1b,draw_1,348,10009,0.37637897469175857,924.6,972,904,1002,817,928
pythia-1b,draw_2,356,10009,0.38737758433079433,919.0,952,1007,902,911,823
pythia-1b,draw_3,364,10009,0.4039955604883463,901.0,978,900,945,812,870
pythia-1.4b,draw_1,625,80581,0.2742912314579128,2278.6,2507,2551,2162,1940,2233
pythia-1.4b,draw_2,616,80581,0.26857342169515175,2293.6,2589,2451,2182,2025,2221
pythia-1.4b,draw_3,619,80581,0.2740878498051718,2258.4,2604,2453,2121,2108,2006
