model,draw,test_band,k_sample,n_edges,accuracy,top5_accuracy,mean_correct_prob
pythia-70m,draw_1,low,1,297,0.0,0.0,1.6747954421722807e-05
pythia-70m,draw_1,medium,1,297,0.0,0.0,2.9815791211873622e-05
pythia-70m,draw_1,high,1,297,0.0,0.0,0.00011699725479185
pythia-70m,draw_1,very_high,1,297,0.0,0.0044444444444444444,0.00026959162449502277
pythia-70m,draw_1,control,1,297,0.0,0.0,0.00022083393631370165
pythia-70m,draw_1,low,2,297,0.0,0.0,1.4708650683134354e-05
pythia-70m,draw_1,medium,2,297,0.0,0.0,2.754063665736174e-05
pythia-70m,draw_1,high,2,297,0.0,0.0,0.00011612275431344601
pythia-70m,draw_1,very_high,2,297,0.0,0.0,0.00025040338063980983
pythia-70m,draw_1,control,2,297,0.0,0.0,0.00017725988632415874
pythia-70m,draw_1,low,3,297,0.0,0.0,1.7383463648344608e-05
pythia-70m,draw_1,medium,3,297,0.0,0.0,3.147186042156463e-05
pythia-70m,draw_1,high,3,297,0.0,0.0,0.00015178693994545572
pythia-70m,draw_1,very_high,3,297,0.0,0.0,0.0002688484797471662
pythia-70m,draw_1,control,3,297,0.0,0.0,0.00017771742349534888
pythia-70m,draw_1,low,4,297,0.0,0.0,1.6732709293126252e-05
pythia-70m,draw_1,medium,4,297,0.0,0.0,3.3560166055846615e-05
pythia-70m,draw_1,high,4,297,0.0,0.0,0.00012286103890447623
pythia-70m,draw_1,very_high,4,297,0.0,0.0,0.0002452894414943311
pythia-70m,draw_1,control,4,297,0.0,0.0,0.00017570025236429625
pythia-70m,draw_1,low,5,297,0.0,0.0,2.0707036760408848e-05
pythia-70m,draw_1,medium,5,297,0.0,0.0,3.0428411326750435e-05
pythia-70m,draw_1,high,5,297,0.0,0.0,0.00011842730518454106
pythia-70m,draw_1,very_high,5,297,0.0,0.0,0.0002742480339412465
pythia-70m,draw_1,control,5,297,0.0,0.0,0.00017822993169198294
pythia-70m,draw_1,low,6,297,0.0,0.0,1.5100009777787705e-05
pythia-70m,draw_1,medium,6,297,0.0,0.0,2.9973695171188198e-05
pythia-70m,draw_1,high,6,297,0.0,0.0,0.00010926708904261457
pythia-70m,draw_1,very_high,6,297,0.0,0.0044444444444444444,0.0002772394327769708
pythia-70m,draw_1,control,6,297,0.0,0.0,0.00017000505900686925
pythia-70m,draw_1,low,7,297,0.0,0.0,1.768548693049531e-05
pythia-70m,draw_1,medium,7,297,0.0,0.0,3.209468171461369e-05
pythia-70m,draw_1,high,7,297,0.0,0.0,0.00013055729364182866
pythia-70m,draw_1,very_high,7,297,0.0,0.0,0.0002564185122290041
pythia-70m,draw_1,control,7,297,0.0,0.0,0.00017419200931363695
pythia-70m,draw_1,low,8,297,0.0,0.0,1.7140339553533618e-05
