model,draw,test_band,circuit_type,n_edges,accuracy,top5_accuracy
pythia-70m,draw_1,low,universal_edge,297,0.31555555555555553,0.43555555555555553
pythia-70m,draw_1,medium,universal_edge,297,0.3466666666666667,0.4711111111111111
pythia-70m,draw_1,high,universal_edge,297,0.4444444444444444,0.5511111111111111
pythia-70m,draw_1,very_high,universal_edge,297,0.5733333333333334,0.7244444444444444
pythia-70m,draw_1,control,universal_edge,297,0.5911111111111111,0.7333333333333333
pythia-70m,draw_2,low,universal_edge,297,0.4,0.5333333333333333
pythia-70m,draw_2,medium,universal_edge,297,0.4488888888888889,0.5866666666666667
pythia-70m,draw_2,high,universal_edge,297,0.5555555555555556,0.7022222222222222
pythia-70m,draw_2,very_high,universal_edge,297,0.6444444444444445,0.8
pythia-70m,draw_2,control,universal_edge,297,0.6266666666666667,0.7733333333333333
pythia-70m,draw_3,low,universal_edge,311,0.19111111111111112,0.3022222222222222
pythia-70m,draw_3,medium,universal_edge,311,0.31555555555555553,0.4
pythia-70m,draw_3,high,universal_edge,311,0.4533333333333333,0.5777777777777777
pythia-70m,draw_3,very_high,universal_edge,311,0.5644444444444444,0.6933333333333334
pythia-70m,draw_3,control,universal_edge,311,0.5466666666666666,0.6844444444444444
pythia-160m,draw_1,low,universal_edge,694,0.0,0.013333333333333334
pythia-160m,draw_1,medium,universal_edge,694,0.0,0.07111111111111111
pythia-160m,draw_1,high,universal_edge,694,0.0044444444444444444,0.14666666666666667
pythia-160m,draw_1,very_high,universal_edge,694,0.0,0.14222222222222222
pythia-160m,draw_1,control,universal_edge,694,0.008888888888888889,0.07555555555555556
pythia-160m,draw_2,low,universal_edge,723,0.0,0.0
pythia-160m,draw_2,medium,universal_edge,723,0.0,0.0
pythia-160m,draw_2,high,universal_edge,723,0.0,0.008888888888888889
pythia-160m,draw_2,very_high,universal_edge,723,0.0,0.0044444444444444444
pythia-160m,draw_2,control,universal_edge,723,0.0044444444444444444,0.017777777777777778
pythia-160m,draw_3,low,universal_edge,723,0.0,0.013333333333333334
pythia-160m,draw_3,medium,universal_edge,723,0.008888888888888889,0.04888888888888889
pythia-160m,draw_3,high,universal_edge,723,0.0044444444444444444,0.03111111111111111
pythia-160m,draw_3,very_high,universal_edge,723,0.013333333333333334,0.04
pythia-160m,draw_3,control,universal_edge,723,0.0044444444444444444,0.08444444444444445
pythia-410m,draw_1,low,universal_edge,1283,0.0,0.0
pythia-410m,draw_1,medium,universal_edge,1283,0.0,0.0
pythia-410m,draw_1,high,universal_edge,1283,0.0,0.0
pythia-410m,draw_1,very_high,universal_edge,1283,0.0,0.0
pythia-410m,draw_1,control,universal_edge,1283,0.0,0.0
pythia-410m,draw_2,low,universal_edge,1301,0.0,0.0
pythia-410m,draw_2,medium,universal_edge,1301,0.0,0.0
pythia-410m,draw_2,high,universal_edge,1301,0.0,0.0
pythia-410m,draw_2,very_high,universal_edge,1301,0.0,0.0
pythia-410m,draw_2,control,universal_edge,1301,0.0,0.0
pythia-410m,draw_3,low,universal_edge,1324,0.0,0.0
pythia-410m,draw_3,medium,universal_edge,1324,0.0,0.0
pythia-410m,draw_3,high,universal_edge,1324,0.0,0.0
pythia-410m,draw_3,very_high,universal_edge,1324,0.0,0.0
pythia-410m,draw_3,control,universal_edge,1324,0.0,0.0
pythia-1b,draw_1,low,universal_edge,348,0.0,0.0
pythia-1b,draw_1,medium,universal_edge,348,0.0,0.0
pythia-1b,draw_1,high,universal_edge,348,0.0,0.0
pythia-1b,draw_1,very_high,universal_edge,348,0.0,0.0
pythia-1b,draw_1,control,universal_edge,348,0.0,0.0
pythia-1b,draw_2,low,universal_edge,356,0.0,0.0
pythia-1b,draw_2,medium,universal_edge,356,0.0,0.0
pythia-1b,draw_2,high,universal_edge,356,0.0,0.0
pythia-1b,draw_2,very_high,universal_edge,356,0.0,0.0
pythia-1b,draw_2,control,universal_edge,356,0.0,0.0044444444444444444
pythia-1b,draw_3,low,universal_edge,364,0.0,0.0
pythia-1b,draw_3,medium,universal_edge,364,0.0,0.0
pythia-1b,draw_3,high,universal_edge,364,0.0,0.0
pythia-1b,draw_3,very_high,universal_edge,364,0.0,0.0
pythia-1b,draw_3,control,universal_edge,364,0.0,0.0
pythia-1.4b,draw_1,low,universal_edge,625,0.0,0.0
pythia-1.4b,draw_1,medium,universal_edge,625,0.0,0.0
pythia-1.4b,draw_1,high,universal_edge,625,0.0,0.0
pythia-1.4b,draw_1,very_high,universal_edge,625,0.0,0.0044444444444444444
pythia-1.4b,draw_1,control,universal_edge,625,0.0,0.0
pythia-1.4b,draw_2,low,universal_edge,616,0.0,0.0
pythia-1.4b,draw_2,medium,universal_edge,616,0.0,0.0
pythia-1.4b,draw_2,high,universal_edge,616,0.0,0.0
pythia-1.4b,draw_2,very_high,universal_edge,616,0.0,0.0
pythia-1.4b,draw_2,control,universal_edge,616,0.0,0.0
pythia-1.4b,draw_3,low,universal_edge,619,0.0,0.0
pythia-1.4b,draw_3,medium,universal_edge,619,0.0,0.0
pythia-1.4b,draw_3,high,universal_edge,619,0.0,0.0
pythia-1.4b,draw_3,very_high,universal_edge,619,0.0,0.0
pythia-1.4b,draw_3,control,universal_edge,619,0.0,0.0044444444444444444
