model,draw,test_band,source_level_acc_zero,n_hooks,n_circuit_edges,edge_level_acc_zero,diff_zero
pythia-70m,draw_1,low,0.38666666666666666,3,297,0.31555555555555553,0.07111111111111112
pythia-70m,draw_1,medium,0.52,3,297,0.3466666666666667,0.17333333333333334
pythia-70m,draw_1,high,0.5644444444444444,3,297,0.4444444444444444,0.12
pythia-70m,draw_1,very_high,0.7288888888888889,3,297,0.5733333333333334,0.15555555555555556
pythia-70m,draw_1,control,0.7155555555555555,3,297,0.5911111111111111,0.12444444444444436
pythia-70m,draw_2,low,0.4533333333333333,3,297,0.4,0.05333333333333329
pythia-70m,draw_2,medium,0.5422222222222223,3,297,0.4488888888888889,0.09333333333333338
pythia-70m,draw_2,high,0.6622222222222223,3,297,0.5555555555555556,0.10666666666666669
pythia-70m,draw_2,very_high,0.7511111111111111,3,297,0.6444444444444445,0.10666666666666658
pythia-70m,draw_2,control,0.6577777777777778,3,297,0.6266666666666667,0.03111111111111109
pythia-70m,draw_3,low,0.37333333333333335,3,311,0.19111111111111112,0.18222222222222223
pythia-70m,draw_3,medium,0.4666666666666667,3,311,0.31555555555555553,0.15111111111111114
pythia-70m,draw_3,high,0.5955555555555555,3,311,0.4533333333333333,0.1422222222222222
pythia-70m,draw_3,very_high,0.7688888888888888,3,311,0.5644444444444444,0.20444444444444443
pythia-70m,draw_3,control,0.7511111111111111,3,311,0.5466666666666666,0.20444444444444443
pythia-160m,draw_1,low,0.8666666666666667,12,694,0.0,0.8666666666666667
pythia-160m,draw_1,medium,0.9288888888888889,12,694,0.0,0.9288888888888889
pythia-160m,draw_1,high,0.8755555555555555,12,694,0.0044444444444444444,0.8711111111111111
pythia-160m,draw_1,very_high,0.8888888888888888,12,694,0.0,0.8888888888888888
pythia-160m,draw_1,control,0.9111111111111111,12,694,0.008888888888888889,0.9022222222222223
pythia-160m,draw_2,low,0.9111111111111111,12,723,0.0,0.9111111111111111
