model,tau_variant,tau_value,n_edges,total_edges,size_fraction,same_acc,base_acc_control,cross_acc,transfer_eff
pythia-1.4b,low,0.000251,3770,80581,0.04678522232288,0.9422222222222222,0.9866666666666668,0.8600000000000001,0.9127358490566039
pythia-1.4b,star,0.000631,2097,80581,0.026023504300021,0.92,0.9866666666666668,0.86,0.9347826086956521
pythia-1.4b,high,0.00158,1197,80581,0.0148546183343468,0.8311111111111111,0.9866666666666668,0.7311111111111112,0.8796791443850268
pythia-160m,low,0.000251,2138,11467,0.1864480683701055,0.92,0.9866666666666668,0.9166666666666666,0.9963768115942028
pythia-160m,star,0.000631,1396,11467,0.1217406470742129,0.9244444444444444,0.9866666666666668,0.9177777777777778,0.9927884615384616
pythia-160m,high,0.00158,904,11467,0.0788349175896049,0.8755555555555555,0.9866666666666668,0.8444444444444444,0.9644670050761421
pythia-1b,low,0.000631,1425,10009,0.1423718653212109,0.9733333333333334,0.9866666666666668,0.9411111111111112,0.9668949771689499
pythia-1b,star,0.00158,939,10009,0.0938155659906084,0.9377777777777778,0.9866666666666668,0.8944444444444445,0.9537914691943128
pythia-1b,high,0.00398,551,10009,0.0550504545908682,0.8222222222222222,0.9866666666666668,0.7555555555555555,0.918918918918919
pythia-410m,low,0.0001,5949,80581,0.073826336233107,0.9777777777777776,0.9911111111111112,0.9711111111111113,0.9931818181818185
pythia-410m,star,0.000251,3444,80581,0.0427396036286469,0.96,0.9911111111111112,0.9444444444444444,0.9837962962962963
pythia-410m,high,0.000631,2073,80581,0.0257256673409364,0.9333333333333332,0.9911111111111112,0.9033333333333333,0.967857142857143
pythia-70m,low,0.000631,590,1324,0.445619335347432,0.5511111111111111,0.5955555555555555,0.4244444444444444,0.7701612903225806
pythia-70m,star,0.00158,436,1324,0.3293051359516616,0.4888888888888889,0.5955555555555555,0.3688888888888889,0.7545454545454545
pythia-70m,high,0.00398,295,1324,0.222809667673716,0.4711111111111111,0.5955555555555555,0.3444444444444444,0.731132075471698
