Method,Model,Transfer Eff.,TE Std,Jaccard,Jaccard Std,TE (\%)
ACDC,70M,0.7911323044917,0.050362909164237156,—,,79.1\%
ACDC,160M,0.9780240680971939,0.021721416862723653,—,,97.8\%
ACDC,410M,0.9877699804665419,0.019927198555565954,—,,98.8\%
ACDC,1B,0.9638816797839974,0.031573155455812005,—,,96.4\%
ACDC,1.4B,0.9272589956488815,0.04734893275508807,—,,92.7\%
EAP,70M,0.8621253922819522,0.1744970684360361,0.594,0.01087481669228115,86.2\%
EAP,160M,1.0906141774891789,0.891651386630182,0.379,0.014064209320409082,109.1\%
EAP,410M,0.6174242424242443,0.4479188689163647,0.307,0.014845505431930457,61.7\%
EAP,1B,1.0138888888888942,1.1799835215422019,0.315,0.0120292699752421,101.4\%
EAP,1.4B,0.16666666666666666,0.2041241452319315,0.252,0.011026115944887335,16.7\%
EAP-IG,70M,0.7756881167722428,0.08432190881663991,0.598,0.015745588770841944,77.6\%
EAP-IG,160M,1.0683578972224983,0.27655394486669527,0.416,0.012492080116297197,106.8\%
EAP-IG,410M,0.7281131759994198,0.15110045320699078,0.323,0.011441620444872841,72.8\%
EAP-IG,1B,0.9748346560846557,0.3321154339524042,0.361,0.010708431604845215,97.5\%
EAP-IG,1.4B,0.7503280978280984,0.4629106632810548,0.281,0.014676481284420756,75.0\%
