token_id,token_string,cleaned_token,token_label,has_leading_space,primary_signal,confidence_level,llm_category,final_category,n_contexts,has_contexts,gpu_id,double_checked
34,A,A,subword_en,False,WORD,high,FUNCTION,FUNCTION_DET,10,True,0,True
35,B,B,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
36,C,C,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
37,D,D,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
38,E,E,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
39,F,F,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
40,G,G,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
41,H,H,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
42,I,I,subword_en,False,WORD,high,PRONOUN,PRONOUN_PERSONAL,10,True,0,True
43,J,J,subword_en,False,SINGLE_CHAR_FRAGMENT,high,NOUN_PROPER,STEM,10,True,0,True
44,K,K,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
45,L,L,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
46,M,M,subword_en,False,SINGLE_CHAR_FRAGMENT,high,NOUN_PROPER,STEM,10,True,0,True
47,N,N,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
48,O,O,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
49,P,P,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
50,Q,Q,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
51,R,R,subword_en,False,SINGLE_CHAR_FRAGMENT,high,NOUN_PROPER,STEM,10,True,0,True
52,S,S,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
53,T,T,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
54,U,U,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
55,V,V,subword_en,False,SINGLE_CHAR_FRAGMENT,high,NOUN_PROPER,STEM,10,True,0,True
56,W,W,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
57,X,X,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
58,Y,Y,subword_en,False,SINGLE_CHAR_FRAGMENT,high,PRONOUN,STEM,10,True,0,True
59,Z,Z,subword_en,False,SINGLE_CHAR_FRAGMENT,high,NOUN_PROPER,STEM,10,True,0,True
66,a,a,subword_en,False,WORD,high,FUNCTION,FUNCTION_DET,10,True,0,True
67,b,b,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
68,c,c,subword_en,False,SINGLE_CHAR_FRAGMENT,high,CONTRACTION,STEM,10,True,0,True
69,d,d,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,SUFFIX,10,True,0,True
70,e,e,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
71,f,f,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
72,g,g,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,SUFFIX,10,True,0,True
73,h,h,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
74,i,i,subword_en,False,SINGLE_CHAR_FRAGMENT,high,PREFIX,STEM,10,True,0,True
75,j,j,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,STEM,10,True,0,True
76,k,k,subword_en,False,SINGLE_CHAR_FRAGMENT,high,CONTRACTION,STEM,10,True,0,True
