model,draw,source_band,test_band,circuit_type,ablation,n_edges,accuracy,top5_accuracy
pythia-410m,draw_1,low,low,cross_band,resample,140,0.9155555963516235,
pythia-410m,draw_1,low,medium,cross_band,resample,140,0.9200000166893005,
pythia-410m,draw_1,low,high,cross_band,resample,140,0.8888888955116272,
pythia-410m,draw_1,low,very_high,cross_band,resample,140,0.9511111378669739,
pythia-410m,draw_1,low,control,cross_band,resample,140,0.9155555963516235,
pythia-410m,draw_1,medium,low,cross_band,resample,134,0.8844444751739502,
pythia-410m,draw_1,medium,medium,cross_band,resample,134,0.893333375453949,
pythia-410m,draw_1,medium,high,cross_band,resample,134,0.8444444537162781,
pythia-410m,draw_1,medium,very_high,cross_band,resample,134,0.9422222375869751,
pythia-410m,draw_1,medium,control,cross_band,resample,134,0.8488889336585999,
pythia-410m,draw_1,high,low,cross_band,resample,132,0.8400000333786011,
pythia-410m,draw_1,high,medium,cross_band,resample,132,0.8577777743339539,
pythia-410m,draw_1,high,high,cross_band,resample,132,0.8488889336585999,
pythia-410m,draw_1,high,very_high,cross_band,resample,132,0.9244444370269775,
pythia-410m,draw_1,high,control,cross_band,resample,132,0.8666666746139526,
pythia-410m,draw_1,very_high,low,cross_band,resample,166,0.7022222280502319,
pythia-410m,draw_1,very_high,medium,cross_band,resample,166,0.7733333706855774,
pythia-410m,draw_1,very_high,high,cross_band,resample,166,0.7866666913032532,
pythia-410m,draw_1,very_high,very_high,cross_band,resample,166,0.9244444370269775,
pythia-410m,draw_1,very_high,control,cross_band,resample,166,0.800000011920929,
pythia-410m,draw_1,control,low,cross_band,resample,135,0.9155555963516235,
pythia-410m,draw_1,control,medium,cross_band,resample,135,0.9288889169692993,
pythia-410m,draw_1,control,high,cross_band,resample,135,0.902222216129303,
pythia-410m,draw_1,control,very_high,cross_band,resample,135,0.9466667175292969,
pythia-410m,draw_1,control,control,cross_band,resample,135,0.9244444370269775,
pythia-410m,draw_2,low,low,cross_band,resample,125,0.7733333706855774,
pythia-410m,draw_2,low,medium,cross_band,resample,125,0.7377777695655823,
pythia-410m,draw_2,low,high,cross_band,resample,125,0.6622222661972046,
pythia-410m,draw_2,low,very_high,cross_band,resample,125,0.7066667079925537,
pythia-410m,draw_2,low,control,cross_band,resample,125,0.7155555486679077,
pythia-410m,draw_2,medium,low,cross_band,resample,129,0.9333333373069763,
pythia-410m,draw_2,medium,medium,cross_band,resample,129,0.9111111164093018,
pythia-410m,draw_2,medium,high,cross_band,resample,129,0.8044444918632507,
pythia-410m,draw_2,medium,very_high,cross_band,resample,129,0.902222216129303,
pythia-410m,draw_2,medium,control,cross_band,resample,129,0.8755555748939514,
pythia-410m,draw_2,high,low,cross_band,resample,135,0.897777795791626,
pythia-410m,draw_2,high,medium,cross_band,resample,135,0.893333375453949,
pythia-410m,draw_2,high,high,cross_band,resample,135,0.8311111330986023,
pythia-410m,draw_2,high,very_high,cross_band,resample,135,0.893333375453949,
pythia-410m,draw_2,high,control,cross_band,resample,135,0.8888888955116272,
pythia-410m,draw_2,very_high,low,cross_band,resample,144,0.795555591583252,
pythia-410m,draw_2,very_high,medium,cross_band,resample,144,0.8133333325386047,
pythia-410m,draw_2,very_high,high,cross_band,resample,144,0.7866666913032532,
pythia-410m,draw_2,very_high,very_high,cross_band,resample,144,0.8577777743339539,
pythia-410m,draw_2,very_high,control,cross_band,resample,144,0.8355555534362793,
pythia-410m,draw_2,control,low,cross_band,resample,142,0.9111111164093018,
pythia-410m,draw_2,control,medium,cross_band,resample,142,0.8755555748939514,
pythia-410m,draw_2,control,high,cross_band,resample,142,0.8488889336585999,
pythia-410m,draw_2,control,very_high,cross_band,resample,142,0.893333375453949,
pythia-410m,draw_2,control,control,cross_band,resample,142,0.8888888955116272,
pythia-410m,draw_3,low,low,cross_band,resample,136,0.8533333539962769,
pythia-410m,draw_3,low,medium,cross_band,resample,136,0.8666666746139526,
pythia-410m,draw_3,low,high,cross_band,resample,136,0.7511111497879028,
pythia-410m,draw_3,low,very_high,cross_band,resample,136,0.897777795791626,
pythia-410m,draw_3,low,control,cross_band,resample,136,0.8488889336585999,
pythia-410m,draw_3,medium,low,cross_band,resample,125,0.8577777743339539,
pythia-410m,draw_3,medium,medium,cross_band,resample,125,0.902222216129303,
pythia-410m,draw_3,medium,high,cross_band,resample,125,0.7866666913032532,
pythia-410m,draw_3,medium,very_high,cross_band,resample,125,0.893333375453949,
pythia-410m,draw_3,medium,control,cross_band,resample,125,0.8444444537162781,
pythia-410m,draw_3,high,low,cross_band,resample,139,0.9200000166893005,
pythia-410m,draw_3,high,medium,cross_band,resample,139,0.9422222375869751,
pythia-410m,draw_3,high,high,cross_band,resample,139,0.8888888955116272,
pythia-410m,draw_3,high,very_high,cross_band,resample,139,0.9377778172492981,
pythia-410m,draw_3,high,control,cross_band,resample,139,0.9377778172492981,
pythia-410m,draw_3,very_high,low,cross_band,resample,151,0.8666666746139526,
pythia-410m,draw_3,very_high,medium,cross_band,resample,151,0.8888888955116272,
pythia-410m,draw_3,very_high,high,cross_band,resample,151,0.7822222709655762,
pythia-410m,draw_3,very_high,very_high,cross_band,resample,151,0.897777795791626,
pythia-410m,draw_3,very_high,control,cross_band,resample,151,0.8666666746139526,
pythia-410m,draw_3,control,low,cross_band,resample,122,0.8799999952316284,
pythia-410m,draw_3,control,medium,cross_band,resample,122,0.9333333373069763,
pythia-410m,draw_3,control,high,cross_band,resample,122,0.8533333539962769,
pythia-410m,draw_3,control,very_high,cross_band,resample,122,0.9066666960716248,
pythia-410m,draw_3,control,control,cross_band,resample,122,0.8844444751739502,
