model,draw,test_band,n_edges,accuracy,universal_top1,circuit_type,ablation,top5_accuracy
pythia-410m,draw_1,low,87,0.2355555593967437,0.0088888891041278,universal_edge,resample,
pythia-410m,draw_1,medium,87,0.1911111176013946,0.0088888891041278,universal_edge,resample,
pythia-410m,draw_1,high,87,0.1866666674613952,0.0133333336561918,universal_edge,resample,
pythia-410m,draw_1,very_high,87,0.2400000095367431,0.0177777782082557,universal_edge,resample,
pythia-410m,draw_1,control,87,0.2488888949155807,0.0266666673123836,universal_edge,resample,
pythia-410m,draw_2,low,77,0.1200000047683715,0.0044444445520639,universal_edge,resample,
pythia-410m,draw_2,medium,77,0.1111111119389534,0.0133333336561918,universal_edge,resample,
pythia-410m,draw_2,high,77,0.0799999982118606,0.0044444445520639,universal_edge,resample,
pythia-410m,draw_2,very_high,77,0.0666666701436042,0.0,universal_edge,resample,
pythia-410m,draw_2,control,77,0.0266666673123836,0.0,universal_edge,resample,
pythia-410m,draw_3,low,92,0.6088889241218567,0.0755555555224418,universal_edge,resample,
pythia-410m,draw_3,medium,92,0.54666668176651,0.097777783870697,universal_edge,resample,
pythia-410m,draw_3,high,92,0.4666666686534881,0.0622222237288951,universal_edge,resample,
pythia-410m,draw_3,very_high,92,0.5244444608688354,0.0622222237288951,universal_edge,resample,
pythia-410m,draw_3,control,92,0.5822222232818604,0.1022222265601158,universal_edge,resample,
