kind,draw,pair,jaccard,n_a,n_b
between_bands,draw_1,low|medium,0.6850828729281768,153,152
between_bands,draw_1,low|high,0.6758241758241759,153,152
between_bands,draw_1,low|very_high,0.6852791878172588,153,179
between_bands,draw_1,low|control,0.7016574585635359,153,155
between_bands,draw_1,medium|high,0.7471264367816092,152,152
between_bands,draw_1,medium|very_high,0.7329842931937173,152,179
between_bands,draw_1,medium|control,0.7542857142857143,152,155
between_bands,draw_1,high|very_high,0.7239583333333334,152,179
between_bands,draw_1,high|control,0.7344632768361582,152,155
between_bands,draw_1,very_high|control,0.7305699481865285,179,155
between_bands,draw_2,low|medium,0.7485029940119761,148,144
between_bands,draw_2,low|high,0.7413793103448276,148,155
between_bands,draw_2,low|very_high,0.6358974358974359,148,171
between_bands,draw_2,low|control,0.7257142857142858,148,154
between_bands,draw_2,medium|high,0.7383720930232558,144,155
between_bands,draw_2,medium|very_high,0.675531914893617,144,171
between_bands,draw_2,medium|control,0.7426900584795322,144,154
between_bands,draw_2,high|very_high,0.689119170984456,155,171
between_bands,draw_2,high|control,0.7758620689655172,155,154
between_bands,draw_2,very_high|control,0.7567567567567568,171,154
between_bands,draw_3,low|medium,0.7225433526011561,148,150
between_bands,draw_3,low|high,0.6906077348066298,148,158
between_bands,draw_3,low|very_high,0.6344086021505376,148,156
between_bands,draw_3,low|control,0.6954022988505747,148,147
between_bands,draw_3,medium|high,0.8011695906432749,150,158
between_bands,draw_3,medium|very_high,0.7,150,156
between_bands,draw_3,medium|control,0.8,150,147
between_bands,draw_3,high|very_high,0.7158469945355191,158,156
between_bands,draw_3,high|control,0.7941176470588235,158,147
between_bands,draw_3,very_high|control,0.7719298245614035,156,147
same_band_across_draws,draw_1|draw_2,low,0.7398843930635838,153,148
same_band_across_draws,draw_1|draw_3,low,0.7298850574712644,153,148
same_band_across_draws,draw_2|draw_3,low,0.8048780487804879,148,148
same_band_across_draws,draw_1|draw_2,medium,0.7514792899408284,152,144
same_band_across_draws,draw_1|draw_3,medium,0.7869822485207101,152,150
same_band_across_draws,draw_2|draw_3,medium,0.7396449704142012,144,150
same_band_across_draws,draw_1|draw_2,high,0.7848837209302325,152,155
same_band_across_draws,draw_1|draw_3,high,0.834319526627219,152,158
same_band_across_draws,draw_2|draw_3,high,0.8092485549132948,155,158
same_band_across_draws,draw_1|draw_2,very_high,0.8324607329842932,179,171
same_band_across_draws,draw_1|draw_3,very_high,0.7357512953367875,179,156
same_band_across_draws,draw_2|draw_3,very_high,0.7580645161290323,171,156
same_band_across_draws,draw_1|draw_2,control,0.7965116279069767,155,154
same_band_across_draws,draw_1|draw_3,control,0.7764705882352941,155,147
same_band_across_draws,draw_2|draw_3,control,0.7705882352941177,154,147
