draw,source_band,test_band,acc_2way
draw_1,low,low,0.9144144654273987
draw_1,low,medium,0.8844444751739502
draw_1,low,high,0.846846878528595
draw_1,low,very_high,0.8177778124809265
draw_1,low,control,0.831818163394928
draw_1,medium,low,0.8738738894462585
draw_1,medium,medium,0.8844444751739502
draw_1,medium,high,0.8738738894462585
draw_1,medium,very_high,0.8533333539962769
draw_1,medium,control,0.8363636136054993
draw_1,high,low,0.8558558821678162
draw_1,high,medium,0.8799999952316284
draw_1,high,high,0.8513513803482056
draw_1,high,very_high,0.8711111545562744
draw_1,high,control,0.8590908646583557
draw_1,very_high,low,0.9189189672470093
draw_1,very_high,medium,0.9155555963516235
draw_1,very_high,high,0.9054054021835327
draw_1,very_high,very_high,0.9422222375869751
draw_1,very_high,control,0.9181817770004272
draw_1,control,low,0.8963963985443115
draw_1,control,medium,0.9244444370269775
draw_1,control,high,0.9144144654273987
draw_1,control,very_high,0.9288889169692993
draw_1,control,control,0.9181817770004272
draw_2,low,low,0.8995433449745178
draw_2,low,medium,0.8755555748939514
draw_2,low,high,0.8687783479690552
draw_2,low,very_high,0.800000011920929
draw_2,low,control,0.8251121640205383
draw_2,medium,low,0.9178081750869751
draw_2,medium,medium,0.8799999952316284
draw_2,medium,high,0.8506787419319153
draw_2,medium,very_high,0.8355555534362793
draw_2,medium,control,0.8699551820755005
draw_2,high,low,0.9269406199455261
draw_2,high,medium,0.897777795791626
draw_2,high,high,0.9095023274421692
draw_2,high,very_high,0.893333375453949
draw_2,high,control,0.8878924250602722
draw_2,very_high,low,0.8995433449745178
draw_2,very_high,medium,0.8755555748939514
draw_2,very_high,high,0.8868778944015503
draw_2,very_high,very_high,0.902222216129303
draw_2,very_high,control,0.8968610167503357
draw_2,control,low,0.904109537601471
draw_2,control,medium,0.893333375453949
draw_2,control,high,0.8823530077934265
draw_2,control,very_high,0.8844444751739502
draw_2,control,control,0.892376720905304
draw_3,low,low,0.9095023274421692
draw_3,low,medium,0.902222216129303
draw_3,low,high,0.8727272748947144
draw_3,low,very_high,0.800000011920929
draw_3,low,control,0.8206278681755066
draw_3,medium,low,0.914027214050293
draw_3,medium,medium,0.8888888955116272
draw_3,medium,high,0.8818181753158569
draw_3,medium,very_high,0.8222222328186035
draw_3,medium,control,0.8430493474006653
draw_3,high,low,0.9230769872665405
draw_3,high,medium,0.9244444370269775
draw_3,high,high,0.913636326789856
draw_3,high,very_high,0.8755555748939514
draw_3,high,control,0.8744394779205322
draw_3,very_high,low,0.8959276676177979
draw_3,very_high,medium,0.8711111545562744
draw_3,very_high,high,0.8909090757369995
draw_3,very_high,very_high,0.8622222542762756
draw_3,very_high,control,0.8744394779205322
draw_3,control,low,0.9411765336990356
draw_3,control,medium,0.897777795791626
draw_3,control,high,0.9090908765792847
draw_3,control,very_high,0.8844444751739502
draw_3,control,control,0.892376720905304
