model,draw,test_band,n_edges,universal_2way,universal_top1
pythia-1.4b,draw_1,low,179,0.04888889193534851,0.004444444552063942
pythia-1.4b,draw_1,medium,179,0.035555556416511536,0.013333333656191826
pythia-1.4b,draw_1,high,179,0.0533333346247673,0.004444444552063942
pythia-1.4b,draw_1,very_high,179,0.057777777314186096,0.0
pythia-1.4b,draw_1,control,179,0.031111111864447594,0.008888889104127884
pythia-1.4b,draw_2,low,194,0.1644444465637207,0.02222222276031971
pythia-1.4b,draw_2,medium,194,0.13777777552604675,0.035555556416511536
pythia-1.4b,draw_2,high,194,0.09333333373069763,0.02222222276031971
pythia-1.4b,draw_2,very_high,194,0.07111111283302307,0.008888889104127884
pythia-1.4b,draw_2,control,194,0.057777777314186096,0.008888889104127884
pythia-1.4b,draw_3,low,186,0.03999999910593033,0.004444444552063942
pythia-1.4b,draw_3,medium,186,0.02666666731238365,0.004444444552063942
pythia-1.4b,draw_3,high,186,0.06222222372889519,0.0
pythia-1.4b,draw_3,very_high,186,0.035555556416511536,0.004444444552063942
pythia-1.4b,draw_3,control,186,0.02666666731238365,0.0
