model,draw,test_band,n_edges,universal_2way,universal_top1
pythia-160m,draw_1,low,64,0.48000001907348633,0.06666667014360428
pythia-160m,draw_1,medium,64,0.47111111879348755,0.13333334028720856
pythia-160m,draw_1,high,64,0.4355555772781372,0.09333333373069763
pythia-160m,draw_1,very_high,64,0.5333333611488342,0.06222222372889519
pythia-160m,draw_1,control,64,0.4311111271381378,0.08444444835186005
pythia-160m,draw_2,low,73,0.551111102104187,0.07555555552244186
pythia-160m,draw_2,medium,73,0.5377777814865112,0.14222222566604614
pythia-160m,draw_2,high,73,0.5333333611488342,0.12000000476837158
pythia-160m,draw_2,very_high,73,0.5733333230018616,0.07999999821186066
pythia-160m,draw_2,control,73,0.6000000238418579,0.1111111119389534
pythia-160m,draw_3,low,65,0.5955555438995361,0.07999999821186066
pythia-160m,draw_3,medium,65,0.5244444608688354,0.11555555462837219
pythia-160m,draw_3,high,65,0.6177777647972107,0.12888889014720917
pythia-160m,draw_3,very_high,65,0.551111102104187,0.11555555462837219
pythia-160m,draw_3,control,65,0.4933333396911621,0.11555555462837219
