model,draw,test_band,n_edges,universal_2way,universal_top1
pythia-1b,draw_1,low,109,0.5200000405311584,0.13333334028720856
pythia-1b,draw_1,medium,109,0.5022222399711609,0.1644444465637207
pythia-1b,draw_1,high,109,0.5111111402511597,0.18666666746139526
pythia-1b,draw_1,very_high,109,0.3955555558204651,0.07555555552244186
pythia-1b,draw_1,control,109,0.4977777898311615,0.12000000476837158
pythia-1b,draw_2,low,109,0.4844444692134857,0.14222222566604614
pythia-1b,draw_2,medium,109,0.5688889026641846,0.19555556774139404
pythia-1b,draw_2,high,109,0.5955555438995361,0.2266666740179062
pythia-1b,draw_2,very_high,109,0.5155555605888367,0.07555555552244186
pythia-1b,draw_2,control,109,0.5066666603088379,0.12888889014720917
pythia-1b,draw_3,low,105,0.4933333396911621,0.11555555462837219
pythia-1b,draw_3,medium,105,0.4933333396911621,0.14222222566604614
pythia-1b,draw_3,high,105,0.47111111879348755,0.14222222566604614
pythia-1b,draw_3,very_high,105,0.3333333432674408,0.0533333346247673
pythia-1b,draw_3,control,105,0.4000000059604645,0.09777778387069702
