model,draw,source_band,test_band,circuit_type,ablation,n_edges,accuracy,top5_accuracy
pythia-1.4b,draw_1,low,low,cross_band,tokenwise_mean_corrupt,2507,0.06222222222222222,0.5688888888888889
pythia-1.4b,draw_1,low,medium,cross_band,tokenwise_mean_corrupt,2507,0.07111111111111111,0.5911111111111111
pythia-1.4b,draw_1,low,high,cross_band,tokenwise_mean_corrupt,2507,0.057777777777777775,0.52
pythia-1.4b,draw_1,low,very_high,cross_band,tokenwise_mean_corrupt,2507,0.09777777777777778,0.5155555555555555
pythia-1.4b,draw_1,low,control,cross_band,tokenwise_mean_corrupt,2507,0.08,0.5688888888888889
pythia-1.4b,draw_1,medium,low,cross_band,tokenwise_mean_corrupt,2551,0.03111111111111111,0.17777777777777778
pythia-1.4b,draw_1,medium,medium,cross_band,tokenwise_mean_corrupt,2551,0.07555555555555556,0.28444444444444444
pythia-1.4b,draw_1,medium,high,cross_band,tokenwise_mean_corrupt,2551,0.03111111111111111,0.20444444444444446
pythia-1.4b,draw_1,medium,very_high,cross_band,tokenwise_mean_corrupt,2551,0.06222222222222222,0.2577777777777778
pythia-1.4b,draw_1,medium,control,cross_band,tokenwise_mean_corrupt,2551,0.05333333333333334,0.27555555555555555
pythia-1.4b,draw_1,high,low,cross_band,tokenwise_mean_corrupt,2162,0.017777777777777778,0.2
pythia-1.4b,draw_1,high,medium,cross_band,tokenwise_mean_corrupt,2162,0.02666666666666667,0.29777777777777775
pythia-1.4b,draw_1,high,high,cross_band,tokenwise_mean_corrupt,2162,0.04888888888888889,0.40444444444444444
pythia-1.4b,draw_1,high,very_high,cross_band,tokenwise_mean_corrupt,2162,0.04,0.4266666666666667
pythia-1.4b,draw_1,high,control,cross_band,tokenwise_mean_corrupt,2162,0.044444444444444446,0.49333333333333335
pythia-1.4b,draw_1,very_high,low,cross_band,tokenwise_mean_corrupt,1940,0.013333333333333334,0.1511111111111111
pythia-1.4b,draw_1,very_high,medium,cross_band,tokenwise_mean_corrupt,1940,0.044444444444444446,0.26666666666666666
pythia-1.4b,draw_1,very_high,high,cross_band,tokenwise_mean_corrupt,1940,0.05333333333333334,0.3511111111111111
pythia-1.4b,draw_1,very_high,very_high,cross_band,tokenwise_mean_corrupt,1940,0.14666666666666667,0.4888888888888889
pythia-1.4b,draw_1,very_high,control,cross_band,tokenwise_mean_corrupt,1940,0.10222222222222223,0.4266666666666667
pythia-1.4b,draw_1,control,low,cross_band,tokenwise_mean_corrupt,2233,0.0,0.0
pythia-1.4b,draw_1,control,medium,cross_band,tokenwise_mean_corrupt,2233,0.022222222222222223,0.2311111111111111
pythia-1.4b,draw_1,control,high,cross_band,tokenwise_mean_corrupt,2233,0.05333333333333334,0.6711111111111111
pythia-1.4b,draw_1,control,very_high,cross_band,tokenwise_mean_corrupt,2233,0.13333333333333333,0.7511111111111111
pythia-1.4b,draw_1,control,control,cross_band,tokenwise_mean_corrupt,2233,0.09333333333333334,0.6844444444444444
pythia-1.4b,draw_2,low,low,cross_band,tokenwise_mean_corrupt,2589,0.18666666666666668,0.5822222222222222
pythia-1.4b,draw_2,low,medium,cross_band,tokenwise_mean_corrupt,2589,0.17777777777777778,0.5333333333333333
pythia-1.4b,draw_2,low,high,cross_band,tokenwise_mean_corrupt,2589,0.08,0.49777777777777776
pythia-1.4b,draw_2,low,very_high,cross_band,tokenwise_mean_corrupt,2589,0.14222222222222222,0.5244444444444445
pythia-1.4b,draw_2,low,control,cross_band,tokenwise_mean_corrupt,2589,0.14222222222222222,0.5511111111111111
pythia-1.4b,draw_2,medium,low,cross_band,tokenwise_mean_corrupt,2451,0.06666666666666667,0.56
pythia-1.4b,draw_2,medium,medium,cross_band,tokenwise_mean_corrupt,2451,0.04888888888888889,0.5822222222222222
pythia-1.4b,draw_2,medium,high,cross_band,tokenwise_mean_corrupt,2451,0.06666666666666667,0.5955555555555555
pythia-1.4b,draw_2,medium,very_high,cross_band,tokenwise_mean_corrupt,2451,0.12444444444444444,0.6711111111111111
pythia-1.4b,draw_2,medium,control,cross_band,tokenwise_mean_corrupt,2451,0.10222222222222223,0.6
pythia-1.4b,draw_2,high,low,cross_band,tokenwise_mean_corrupt,2182,0.04,0.36
pythia-1.4b,draw_2,high,medium,cross_band,tokenwise_mean_corrupt,2182,0.022222222222222223,0.37333333333333335
pythia-1.4b,draw_2,high,high,cross_band,tokenwise_mean_corrupt,2182,0.04,0.43555555555555553
pythia-1.4b,draw_2,high,very_high,cross_band,tokenwise_mean_corrupt,2182,0.09333333333333334,0.5555555555555556
pythia-1.4b,draw_2,high,control,cross_band,tokenwise_mean_corrupt,2182,0.07111111111111111,0.4622222222222222
pythia-1.4b,draw_2,very_high,low,cross_band,tokenwise_mean_corrupt,2025,0.09333333333333334,0.49777777777777776
pythia-1.4b,draw_2,very_high,medium,cross_band,tokenwise_mean_corrupt,2025,0.06666666666666667,0.5466666666666666
pythia-1.4b,draw_2,very_high,high,cross_band,tokenwise_mean_corrupt,2025,0.10222222222222223,0.6088888888888889
pythia-1.4b,draw_2,very_high,very_high,cross_band,tokenwise_mean_corrupt,2025,0.28,0.6888888888888889
pythia-1.4b,draw_2,very_high,control,cross_band,tokenwise_mean_corrupt,2025,0.2,0.6711111111111111
pythia-1.4b,draw_2,control,low,cross_band,tokenwise_mean_corrupt,2221,0.08444444444444445,0.4666666666666667
pythia-1.4b,draw_2,control,medium,cross_band,tokenwise_mean_corrupt,2221,0.07555555555555556,0.4088888888888889
pythia-1.4b,draw_2,control,high,cross_band,tokenwise_mean_corrupt,2221,0.17333333333333334,0.52
pythia-1.4b,draw_2,control,very_high,cross_band,tokenwise_mean_corrupt,2221,0.2222222222222222,0.6622222222222223
pythia-1.4b,draw_2,control,control,cross_band,tokenwise_mean_corrupt,2221,0.18666666666666668,0.5955555555555555
pythia-1.4b,draw_3,low,low,cross_band,tokenwise_mean_corrupt,2604,0.2222222222222222,0.6133333333333333
pythia-1.4b,draw_3,low,medium,cross_band,tokenwise_mean_corrupt,2604,0.2311111111111111,0.6977777777777778
pythia-1.4b,draw_3,low,high,cross_band,tokenwise_mean_corrupt,2604,0.19555555555555557,0.6533333333333333
pythia-1.4b,draw_3,low,very_high,cross_band,tokenwise_mean_corrupt,2604,0.17777777777777778,0.64
pythia-1.4b,draw_3,low,control,cross_band,tokenwise_mean_corrupt,2604,0.2088888888888889,0.6444444444444445
pythia-1.4b,draw_3,medium,low,cross_band,tokenwise_mean_corrupt,2453,0.12444444444444444,0.5733333333333334
pythia-1.4b,draw_3,medium,medium,cross_band,tokenwise_mean_corrupt,2453,0.11555555555555555,0.4666666666666667
pythia-1.4b,draw_3,medium,high,cross_band,tokenwise_mean_corrupt,2453,0.04888888888888889,0.4533333333333333
pythia-1.4b,draw_3,medium,very_high,cross_band,tokenwise_mean_corrupt,2453,0.08444444444444445,0.48444444444444446
pythia-1.4b,draw_3,medium,control,cross_band,tokenwise_mean_corrupt,2453,0.1288888888888889,0.5066666666666667
pythia-1.4b,draw_3,high,low,cross_band,tokenwise_mean_corrupt,2121,0.02666666666666667,0.4088888888888889
pythia-1.4b,draw_3,high,medium,cross_band,tokenwise_mean_corrupt,2121,0.07111111111111111,0.44
pythia-1.4b,draw_3,high,high,cross_band,tokenwise_mean_corrupt,2121,0.06222222222222222,0.4
pythia-1.4b,draw_3,high,very_high,cross_band,tokenwise_mean_corrupt,2121,0.04888888888888889,0.49333333333333335
pythia-1.4b,draw_3,high,control,cross_band,tokenwise_mean_corrupt,2121,0.07555555555555556,0.5777777777777777
pythia-1.4b,draw_3,very_high,low,cross_band,tokenwise_mean_corrupt,2108,0.008888888888888889,0.06222222222222222
pythia-1.4b,draw_3,very_high,medium,cross_band,tokenwise_mean_corrupt,2108,0.02666666666666667,0.14222222222222222
pythia-1.4b,draw_3,very_high,high,cross_band,tokenwise_mean_corrupt,2108,0.04888888888888889,0.21333333333333335
pythia-1.4b,draw_3,very_high,very_high,cross_band,tokenwise_mean_corrupt,2108,0.07555555555555556,0.3422222222222222
pythia-1.4b,draw_3,very_high,control,cross_band,tokenwise_mean_corrupt,2108,0.10222222222222223,0.29333333333333333
pythia-1.4b,draw_3,control,low,cross_band,tokenwise_mean_corrupt,2006,0.0,0.0
pythia-1.4b,draw_3,control,medium,cross_band,tokenwise_mean_corrupt,2006,0.04,0.08888888888888889
pythia-1.4b,draw_3,control,high,cross_band,tokenwise_mean_corrupt,2006,0.3022222222222222,0.6044444444444445
pythia-1.4b,draw_3,control,very_high,cross_band,tokenwise_mean_corrupt,2006,0.43555555555555553,0.7955555555555556
pythia-1.4b,draw_3,control,control,cross_band,tokenwise_mean_corrupt,2006,0.47555555555555556,0.7466666666666667
