model,draw,source_band,test_band,circuit_type,ablation,n_edges,accuracy,top5_accuracy
pythia-410m,draw_1,low,low,cross_band,tokenwise_mean_corrupt,3957,0.3511111111111111,0.6355555555555555
pythia-410m,draw_1,low,medium,cross_band,tokenwise_mean_corrupt,3957,0.35555555555555557,0.5911111111111111
pythia-410m,draw_1,low,high,cross_band,tokenwise_mean_corrupt,3957,0.24,0.4088888888888889
pythia-410m,draw_1,low,very_high,cross_band,tokenwise_mean_corrupt,3957,0.1511111111111111,0.37777777777777777
pythia-410m,draw_1,low,control,cross_band,tokenwise_mean_corrupt,3957,0.15555555555555556,0.3466666666666667
pythia-410m,draw_1,medium,low,cross_band,tokenwise_mean_corrupt,3809,0.044444444444444446,0.06666666666666667
pythia-410m,draw_1,medium,medium,cross_band,tokenwise_mean_corrupt,3809,0.06222222222222222,0.09777777777777778
pythia-410m,draw_1,medium,high,cross_band,tokenwise_mean_corrupt,3809,0.20444444444444446,0.37777777777777777
pythia-410m,draw_1,medium,very_high,cross_band,tokenwise_mean_corrupt,3809,0.3466666666666667,0.7022222222222222
pythia-410m,draw_1,medium,control,cross_band,tokenwise_mean_corrupt,3809,0.06666666666666667,0.13333333333333333
pythia-410m,draw_1,high,low,cross_band,tokenwise_mean_corrupt,3480,0.56,0.8266666666666667
pythia-410m,draw_1,high,medium,cross_band,tokenwise_mean_corrupt,3480,0.6977777777777778,0.9377777777777778
pythia-410m,draw_1,high,high,cross_band,tokenwise_mean_corrupt,3480,0.6888888888888889,0.9022222222222223
pythia-410m,draw_1,high,very_high,cross_band,tokenwise_mean_corrupt,3480,0.6444444444444445,0.8888888888888888
pythia-410m,draw_1,high,control,cross_band,tokenwise_mean_corrupt,3480,0.6,0.8977777777777778
pythia-410m,draw_1,very_high,low,cross_band,tokenwise_mean_corrupt,3131,0.044444444444444446,0.1111111111111111
pythia-410m,draw_1,very_high,medium,cross_band,tokenwise_mean_corrupt,3131,0.09777777777777778,0.21333333333333335
pythia-410m,draw_1,very_high,high,cross_band,tokenwise_mean_corrupt,3131,0.2577777777777778,0.4266666666666667
pythia-410m,draw_1,very_high,very_high,cross_band,tokenwise_mean_corrupt,3131,0.3688888888888889,0.5777777777777777
pythia-410m,draw_1,very_high,control,cross_band,tokenwise_mean_corrupt,3131,0.18666666666666668,0.4177777777777778
pythia-410m,draw_1,control,low,cross_band,tokenwise_mean_corrupt,3425,0.0,0.0
pythia-410m,draw_1,control,medium,cross_band,tokenwise_mean_corrupt,3425,0.0,0.0044444444444444444
pythia-410m,draw_1,control,high,cross_band,tokenwise_mean_corrupt,3425,0.24444444444444444,0.4
pythia-410m,draw_1,control,very_high,cross_band,tokenwise_mean_corrupt,3425,0.5288888888888889,0.8311111111111111
pythia-410m,draw_1,control,control,cross_band,tokenwise_mean_corrupt,3425,0.19111111111111112,0.3511111111111111
pythia-410m,draw_2,low,low,cross_band,tokenwise_mean_corrupt,3848,0.27111111111111114,0.4488888888888889
pythia-410m,draw_2,low,medium,cross_band,tokenwise_mean_corrupt,3848,0.08,0.14222222222222222
pythia-410m,draw_2,low,high,cross_band,tokenwise_mean_corrupt,3848,0.18222222222222223,0.3422222222222222
pythia-410m,draw_2,low,very_high,cross_band,tokenwise_mean_corrupt,3848,0.21777777777777776,0.47555555555555556
pythia-410m,draw_2,low,control,cross_band,tokenwise_mean_corrupt,3848,0.18222222222222223,0.4
pythia-410m,draw_2,medium,low,cross_band,tokenwise_mean_corrupt,3709,0.5911111111111111,0.8044444444444444
pythia-410m,draw_2,medium,medium,cross_band,tokenwise_mean_corrupt,3709,0.6088888888888889,0.8311111111111111
pythia-410m,draw_2,medium,high,cross_band,tokenwise_mean_corrupt,3709,0.5288888888888889,0.8044444444444444
pythia-410m,draw_2,medium,very_high,cross_band,tokenwise_mean_corrupt,3709,0.5066666666666667,0.8311111111111111
pythia-410m,draw_2,medium,control,cross_band,tokenwise_mean_corrupt,3709,0.4311111111111111,0.8
pythia-410m,draw_2,high,low,cross_band,tokenwise_mean_corrupt,3483,0.0,0.0
pythia-410m,draw_2,high,medium,cross_band,tokenwise_mean_corrupt,3483,0.0,0.0
pythia-410m,draw_2,high,high,cross_band,tokenwise_mean_corrupt,3483,0.2222222222222222,0.4444444444444444
