model,draw,test_band,circuit_type,ablation,n_edges,accuracy,top5_accuracy
pythia-1.4b,draw_1,low,universal_edge,tokenwise_mean_corrupt,625,0.0,0.0
pythia-1.4b,draw_1,medium,universal_edge,tokenwise_mean_corrupt,625,0.0,0.0
pythia-1.4b,draw_1,high,universal_edge,tokenwise_mean_corrupt,625,0.0,0.0
pythia-1.4b,draw_1,very_high,universal_edge,tokenwise_mean_corrupt,625,0.0,0.0
pythia-1.4b,draw_1,control,universal_edge,tokenwise_mean_corrupt,625,0.0,0.0
pythia-1.4b,draw_2,low,universal_edge,tokenwise_mean_corrupt,616,0.0,0.0
pythia-1.4b,draw_2,medium,universal_edge,tokenwise_mean_corrupt,616,0.0,0.0
pythia-1.4b,draw_2,high,universal_edge,tokenwise_mean_corrupt,616,0.0,0.0
pythia-1.4b,draw_2,very_high,universal_edge,tokenwise_mean_corrupt,616,0.0,0.0
pythia-1.4b,draw_2,control,universal_edge,tokenwise_mean_corrupt,616,0.0,0.0
pythia-1.4b,draw_3,low,universal_edge,tokenwise_mean_corrupt,619,0.0,0.0
pythia-1.4b,draw_3,medium,universal_edge,tokenwise_mean_corrupt,619,0.0,0.0
pythia-1.4b,draw_3,high,universal_edge,tokenwise_mean_corrupt,619,0.0,0.0
pythia-1.4b,draw_3,very_high,universal_edge,tokenwise_mean_corrupt,619,0.0,0.0
pythia-1.4b,draw_3,control,universal_edge,tokenwise_mean_corrupt,619,0.0,0.0044444444444444444
