model,ablation,same_band_boost_mean,cross_band_boost_mean,transfer_efficiency,cohens_d
pythia-1.4b,resample,0.7555555555555554,0.7328148148148148,0.9699019607843139,0.2577782135804875
pythia-1.4b,resample,0.7555555555555558,0.7328148148148147,0.9699019607843132,0.7050990573134844
pythia-1.4b,zero,0.0038518518518518,0.0028148148148148,0.7307692307692308,0.1489783271300847
pythia-160m,resample,0.304,0.28155555555555556,0.9261695906432749,0.287519894192608
pythia-160m,resample,0.304,0.2815555555555555,0.9261695906432744,0.418291686767334
pythia-160m,zero,0.1271111111111111,0.1268148148148148,0.9976689976689976,0.0030768821127889
pythia-1b,resample,0.5131851851851852,0.48459259259259274,0.9442840646651273,0.24138789450447065
pythia-1b,resample,0.5131851851851852,0.4845925925925927,0.9442840646651272,0.3628043885787094
pythia-1b,zero,0.0008888888888888,0.0012592592592592,1.4166666666666663,-0.1352834451872351
pythia-410m,resample,0.4497777777777777,0.4337777777777779,0.964426877470356,0.16285522527277235
pythia-410m,resample,0.4500740740740739,0.4340740740740741,0.9644502962475316,0.2197539253929934
pythia-410m,zero,0.0014814814814814,0.0018518518518518,1.25,-0.1609556949949125
pythia-70m,resample,0.12207407407407408,0.09940740740740743,0.8143203883495147,0.5092606940147701
pythia-70m,resample,0.122074074074074,0.0994074074074074,0.8143203883495148,0.4947170629483319
pythia-70m,zero,-0.1146666666666666,-0.1268148148148148,,0.1793409302107926
