model,kind,run_a,run_b,cos_positional_global,cos_actual_aggregated,cos_marginal_mass,cos_pos_17,cos_pos_18,cos_pos_19,cos_pos_20,cos_pos_21,n_shared_acdc_edges,shared_profile_cos_unweighted,shared_profile_cos_weighted,shared_profile_tv_unweighted,shared_profile_tv_weighted
pythia-70m,within,low/draw_1,low/draw_2,0.9816023111343384,0.9853591322898865,0.9858132600784302,0.8844658136367798,0.8868874311447144,0.9560126066207886,0.8986513614654541,0.9849103689193726,350,0.9247042536735535,0.9803507328033447,0.14415021240711212,0.065513014793396
pythia-70m,within,low/draw_1,low/draw_3,0.9807668924331665,0.9865204095840454,0.9867086410522461,0.951185405254364,0.8066840767860413,0.9446871876716614,0.938093364238739,0.9833292961120605,341,0.940215528011322,0.9826406240463257,0.13053470849990845,0.06827514618635178
pythia-70m,between,low/draw_1,medium/draw_1,0.9771402478218079,0.9838355183601379,0.9842931628227234,0.8794601559638977,0.7693045139312744,0.9595199227333069,0.9539357423782349,0.9792261123657227,338,0.9282735586166382,0.9829487204551697,0.14612354338169098,0.07117322087287903
pythia-70m,other,low/draw_1,medium/draw_2,0.9748542308807373,0.9751996397972107,0.9761055111885071,0.8976804614067078,0.7887225151062012,0.884440004825592,0.9238578677177429,0.9782715439796448,348,0.9336655735969543,0.9820247888565063,0.13503716886043549,0.06772834807634354
pythia-70m,other,low/draw_1,medium/draw_3,0.9810715317726135,0.9767638444900513,0.9788378477096558,0.9271184802055359,0.8503333926200867,0.8469762802124023,0.9199551343917847,0.9852198958396912,341,0.928706169128418,0.9822260737419128,0.14265938103199005,0.06883913278579712
pythia-70m,between,low/draw_1,high/draw_1,0.952074408531189,0.9601631164550781,0.9621440172195435,0.8765430450439453,0.6041009426116943,0.9323509335517883,0.9548656344413757,0.9537627696990967,348,0.9305734038352966,0.9793410301208496,0.14721131324768066,0.07924734801054001
pythia-70m,other,low/draw_1,high/draw_2,0.963655948638916,0.9611971974372864,0.9631034731864929,0.7694199085235596,0.612994372844696,0.900452733039856,0.9434242248535156,0.9678527116775513,342,0.9324953556060791,0.9812108278274536,0.14021791517734528,0.07300989329814911
pythia-70m,other,low/draw_1,high/draw_3,0.9517213106155396,0.9568871855735779,0.9593768119812012,0.7248856425285339,0.5616284608840942,0.9312182664871216,0.9340736269950867,0.955600380897522,353,0.9241399765014648,0.9773115515708923,0.15088416635990143,0.08433351665735245
pythia-70m,between,low/draw_1,very_high/draw_1,0.8916735649108887,0.8997337818145752,0.9040302634239197,0.6658495664596558,0.656028687953949,0.895050048828125,0.9549365043640137,0.8914867043495178,336,0.9200042486190796,0.9738765954971313,0.15484917163848877,0.09062480926513672
pythia-70m,other,low/draw_1,very_high/draw_2,0.9138657450675964,0.9067776799201965,0.9120576977729797,0.682884693145752,0.5636091828346252,0.8813719749450684,0.9653638005256653,0.9159935712814331,337,0.9337638020515442,0.9796690940856934,0.14172525703907013,0.07927920669317245
pythia-70m,other,low/draw_1,very_high/draw_3,0.9017680287361145,0.8990839123725891,0.905263364315033,0.6211935877799988,0.5592014193534851,0.8566120266914368,0.9647603034973145,0.9032352566719055,333,0.9308505654335022,0.9763082265853882,0.14341117441654205,0.08510344475507736
pythia-70m,between,low/draw_1,control/draw_1,0.9301220178604126,0.9285553097724915,0.9316101670265198,0.7549213171005249,0.5530096888542175,0.8735951781272888,0.9756556153297424,0.9321564435958862,346,0.9246147871017456,0.9736297130584717,0.1530645340681076,0.08159342408180237
pythia-70m,other,low/draw_1,control/draw_2,0.9128565788269043,0.9232763648033142,0.9261077642440796,0.7567631602287292,0.6014376878738403,0.8700563907623291,0.9455397725105286,0.9139760732650757,333,0.9199513792991638,0.97373366355896,0.15567106008529663,0.09105457365512848
pythia-70m,other,low/draw_1,control/draw_3,0.9184609055519104,0.9248616695404053,0.9269015789031982,0.6930190324783325,0.5899856686592102,0.8914725184440613,0.928357720375061,0.9204246997833252,339,0.9156040549278259,0.9758657217025757,0.16138266026973724,0.08588151633739471
pythia-70m,within,low/draw_2,low/draw_3,0.9797236919403076,0.9861567616462708,0.9859434366226196,0.8802793622016907,0.9364162087440491,0.9463996887207031,0.9690372943878174,0.9812373518943787,354,0.934515118598938,0.9810847043991089,0.1368981897830963,0.06476232409477234
pythia-70m,other,low/draw_2,medium/draw_1,0.9735842943191528,0.9815106987953186,0.9818293452262878,0.9055182933807373,0.9082356691360474,0.9495105743408203,0.937706470489502,0.9760245680809021,351,0.9188010692596436,0.9736458659172058,0.15350744128227234,0.07522645592689514
pythia-70m,between,low/draw_2,medium/draw_2,0.9715257287025452,0.9810320734977722,0.9815719723701477,0.8242864012718201,0.9190188050270081,0.9338775873184204,0.9554824829101562,0.9732608795166016,351,0.9235718250274658,0.9793654680252075,0.14689330756664276,0.07147203385829926
pythia-70m,other,low/draw_2,medium/draw_3,0.9778445363044739,0.9780275225639343,0.9818282127380371,0.8211829662322998,0.9368109703063965,0.9081060886383057,0.9483333230018616,0.9804254174232483,349,0.9243332147598267,0.9793688654899597,0.14673714339733124,0.06896767020225525
pythia-70m,other,low/draw_2,high/draw_1,0.9439050555229187,0.9493321180343628,0.9514116048812866,0.8292965292930603,0.8033774495124817,0.9536858201026917,0.9517304301261902,0.9449323415756226,356,0.9163485765457153,0.9770563840866089,0.15707039833068848,0.07548223435878754
pythia-70m,between,low/draw_2,high/draw_2,0.9569385051727295,0.9545384645462036,0.9564946889877319,0.7715714573860168,0.8202840685844421,0.9461880326271057,0.9388245940208435,0.96015465259552,341,0.9145450592041016,0.9734377861022949,0.15832430124282837,0.07464251667261124
pythia-70m,other,low/draw_2,high/draw_3,0.9420105218887329,0.9472320675849915,0.949653148651123,0.8006167411804199,0.7665520310401917,0.933462381362915,0.9373772740364075,0.9446367621421814,355,0.9254647493362427,0.9765382409095764,0.1500595510005951,0.08085449784994125
pythia-70m,other,low/draw_2,very_high/draw_1,0.8845020532608032,0.8854570984840393,0.8900547027587891,0.6912060976028442,0.8280235528945923,0.9247933626174927,0.9241687059402466,0.8843349814414978,345,0.9183434247970581,0.9733229279518127,0.15634803473949432,0.08473624289035797
pythia-70m,between,low/draw_2,very_high/draw_2,0.9090281128883362,0.8945869207382202,0.900221049785614,0.740179181098938,0.7630139589309692,0.917915940284729,0.890343964099884,0.9127352833747864,339,0.9163493514060974,0.9786704778671265,0.16412530839443207,0.0763336569070816
pythia-70m,other,low/draw_2,very_high/draw_3,0.8958547115325928,0.8872706294059753,0.8944349884986877,0.6203175187110901,0.7669904232025146,0.9096818566322327,0.8837649822235107,0.8983449339866638,342,0.9170467257499695,0.9727138876914978,0.15798969566822052,0.08330506831407547
pythia-70m,other,low/draw_2,control/draw_1,0.9184510111808777,0.9130058288574219,0.9158724546432495,0.7875725030899048,0.7790018320083618,0.9191617369651794,0.8613680005073547,0.9224216938018799,346,0.9130819439888,0.9737766981124878,0.16324754059314728,0.07984938472509384
pythia-70m,between,low/draw_2,control/draw_2,0.9067972302436829,0.9127763509750366,0.9156960844993591,0.7257407903671265,0.8072749376296997,0.9186373353004456,0.8626587390899658,0.9091166257858276,342,0.9093469977378845,0.9697440266609192,0.16771171987056732,0.0891866385936737
pythia-70m,other,low/draw_2,control/draw_3,0.9072021842002869,0.9069707989692688,0.9103450179100037,0.7189527750015259,0.7804775238037109,0.9402164220809937,0.8882977962493896,0.9085708856582642,345,0.9082378149032593,0.976936936378479,0.16171063482761383,0.07699496299028397
pythia-70m,other,low/draw_3,medium/draw_1,0.975106418132782,0.9819446206092834,0.9816100597381592,0.9062148928642273,0.8807737827301025,0.9302268028259277,0.9614543318748474,0.9767979383468628,347,0.9337529540061951,0.981745719909668,0.13427628576755524,0.06673144549131393
pythia-70m,other,low/draw_3,medium/draw_2,0.9738773703575134,0.9808465242385864,0.9811293482780457,0.9256213307380676,0.9373683929443359,0.8915046453475952,0.9589722156524658,0.9758229851722717,352,0.928375780582428,0.9804461002349854,0.14143219590187073,0.07291243970394135
pythia-70m,between,low/draw_3,medium/draw_3,0.9846044778823853,0.9862478971481323,0.9879069924354553,0.9418603777885437,0.9000393748283386,0.8712719678878784,0.9461654424667358,0.9877089858055115,349,0.9338846802711487,0.9818037748336792,0.13751013576984406,0.06955020874738693
pythia-70m,other,low/draw_3,high/draw_1,0.9499822854995728,0.9521888494491577,0.9535418152809143,0.8297223448753357,0.8254578709602356,0.9320484399795532,0.9726815223693848,0.950569212436676,361,0.9297958612442017,0.9803460836410522,0.1451433300971985,0.07123015820980072
pythia-70m,other,low/draw_3,high/draw_2,0.9609675407409668,0.9545015692710876,0.9570344686508179,0.7004419565200806,0.8349783420562744,0.911224901676178,0.9526796936988831,0.9639448523521423,343,0.9285856485366821,0.9808032512664795,0.14417463541030884,0.0671067014336586
