model,draw,source_band,test_band,n_edges,ablation,accuracy,top5_accuracy,source_variant,test_variant
pythia-1.4b,draw_1,very_low,very_low,2265,tokenwise_mean_corrupt,0.2533333333333333,0.6177777777777778,unmatched,unmatched
pythia-1.4b,draw_1,very_low,low,2265,tokenwise_mean_corrupt,0.0577777777777777,0.32,unmatched,matched
pythia-1.4b,draw_1,very_low,medium,2265,tokenwise_mean_corrupt,0.0711111111111111,0.3244444444444444,unmatched,matched
pythia-1.4b,draw_1,very_low,high,2265,tokenwise_mean_corrupt,0.0444444444444444,0.2133333333333333,unmatched,matched
pythia-1.4b,draw_1,very_low,very_high,2265,tokenwise_mean_corrupt,0.0577777777777777,0.2355555555555555,unmatched,matched
pythia-1.4b,draw_1,very_low,control,2265,tokenwise_mean_corrupt,0.0533333333333333,0.2088888888888889,unmatched,matched
pythia-1.4b,draw_1,low,very_low,2507,tokenwise_mean_corrupt,0.1911111111111111,0.7022222222222222,matched,unmatched
pythia-1.4b,draw_1,low,low,2507,tokenwise_mean_corrupt,0.0622222222222222,0.5688888888888889,matched,matched
pythia-1.4b,draw_1,low,medium,2507,tokenwise_mean_corrupt,0.0711111111111111,0.5911111111111111,matched,matched
pythia-1.4b,draw_1,low,high,2507,tokenwise_mean_corrupt,0.0577777777777777,0.52,matched,matched
pythia-1.4b,draw_1,low,very_high,2507,tokenwise_mean_corrupt,0.0977777777777777,0.5155555555555555,matched,matched
pythia-1.4b,draw_1,low,control,2507,tokenwise_mean_corrupt,0.08,0.5688888888888889,matched,matched
pythia-1.4b,draw_1,medium,very_low,2551,tokenwise_mean_corrupt,0.0622222222222222,0.2488888888888888,matched,unmatched
pythia-1.4b,draw_1,medium,low,2551,tokenwise_mean_corrupt,0.0311111111111111,0.1777777777777777,matched,matched
pythia-1.4b,draw_1,medium,medium,2551,tokenwise_mean_corrupt,0.0755555555555555,0.2844444444444444,matched,matched
pythia-1.4b,draw_1,medium,high,2551,tokenwise_mean_corrupt,0.0311111111111111,0.2044444444444444,matched,matched
pythia-1.4b,draw_1,medium,very_high,2551,tokenwise_mean_corrupt,0.0622222222222222,0.2577777777777778,matched,matched
pythia-1.4b,draw_1,medium,control,2551,tokenwise_mean_corrupt,0.0533333333333333,0.2755555555555555,matched,matched
pythia-1.4b,draw_1,high,very_low,2162,tokenwise_mean_corrupt,0.0977777777777777,0.3511111111111111,matched,unmatched
pythia-1.4b,draw_1,high,low,2162,tokenwise_mean_corrupt,0.0177777777777777,0.2,matched,matched
pythia-1.4b,draw_1,high,medium,2162,tokenwise_mean_corrupt,0.0266666666666666,0.2977777777777777,matched,matched
pythia-1.4b,draw_1,high,high,2162,tokenwise_mean_corrupt,0.0488888888888888,0.4044444444444444,matched,matched
pythia-1.4b,draw_1,high,very_high,2162,tokenwise_mean_corrupt,0.04,0.4266666666666667,matched,matched
pythia-1.4b,draw_1,high,control,2162,tokenwise_mean_corrupt,0.0444444444444444,0.4933333333333333,matched,matched
pythia-1.4b,draw_1,very_high,very_low,1940,tokenwise_mean_corrupt,0.1155555555555555,0.2666666666666666,matched,unmatched
pythia-1.4b,draw_1,very_high,low,1940,tokenwise_mean_corrupt,0.0133333333333333,0.1511111111111111,matched,matched
pythia-1.4b,draw_1,very_high,medium,1940,tokenwise_mean_corrupt,0.0444444444444444,0.2666666666666666,matched,matched
pythia-1.4b,draw_1,very_high,high,1940,tokenwise_mean_corrupt,0.0533333333333333,0.3511111111111111,matched,matched
pythia-1.4b,draw_1,very_high,very_high,1940,tokenwise_mean_corrupt,0.1466666666666666,0.4888888888888889,matched,matched
pythia-1.4b,draw_1,very_high,control,1940,tokenwise_mean_corrupt,0.1022222222222222,0.4266666666666667,matched,matched
pythia-1.4b,draw_1,control,very_low,2233,tokenwise_mean_corrupt,0.0,0.0,matched,unmatched
pythia-1.4b,draw_1,control,low,2233,tokenwise_mean_corrupt,0.0,0.0,matched,matched
pythia-1.4b,draw_1,control,medium,2233,tokenwise_mean_corrupt,0.0222222222222222,0.2311111111111111,matched,matched
pythia-1.4b,draw_1,control,high,2233,tokenwise_mean_corrupt,0.0533333333333333,0.6711111111111111,matched,matched
pythia-1.4b,draw_1,control,very_high,2233,tokenwise_mean_corrupt,0.1333333333333333,0.7511111111111111,matched,matched
pythia-1.4b,draw_1,control,control,2233,tokenwise_mean_corrupt,0.0933333333333333,0.6844444444444444,matched,matched
pythia-1.4b,draw_2,very_low,very_low,2409,tokenwise_mean_corrupt,0.1333333333333333,0.5111111111111111,unmatched,unmatched
pythia-1.4b,draw_2,very_low,low,2409,tokenwise_mean_corrupt,0.0311111111111111,0.2488888888888888,unmatched,matched
pythia-1.4b,draw_2,very_low,medium,2409,tokenwise_mean_corrupt,0.0088888888888888,0.1244444444444444,unmatched,matched
pythia-1.4b,draw_2,very_low,high,2409,tokenwise_mean_corrupt,0.0044444444444444,0.0755555555555555,unmatched,matched
pythia-1.4b,draw_2,very_low,very_high,2409,tokenwise_mean_corrupt,0.04,0.1066666666666666,unmatched,matched
pythia-1.4b,draw_2,very_low,control,2409,tokenwise_mean_corrupt,0.0222222222222222,0.1111111111111111,unmatched,matched
pythia-1.4b,draw_2,low,very_low,2589,tokenwise_mean_corrupt,0.2444444444444444,0.7288888888888889,matched,unmatched
pythia-1.4b,draw_2,low,low,2589,tokenwise_mean_corrupt,0.1866666666666666,0.5822222222222222,matched,matched
pythia-1.4b,draw_2,low,medium,2589,tokenwise_mean_corrupt,0.1777777777777777,0.5333333333333333,matched,matched
pythia-1.4b,draw_2,low,high,2589,tokenwise_mean_corrupt,0.08,0.4977777777777777,matched,matched
pythia-1.4b,draw_2,low,very_high,2589,tokenwise_mean_corrupt,0.1422222222222222,0.5244444444444445,matched,matched
pythia-1.4b,draw_2,low,control,2589,tokenwise_mean_corrupt,0.1422222222222222,0.5511111111111111,matched,matched
pythia-1.4b,draw_2,medium,very_low,2451,tokenwise_mean_corrupt,0.0711111111111111,0.5777777777777777,matched,unmatched
pythia-1.4b,draw_2,medium,low,2451,tokenwise_mean_corrupt,0.0666666666666666,0.56,matched,matched
pythia-1.4b,draw_2,medium,medium,2451,tokenwise_mean_corrupt,0.0488888888888888,0.5822222222222222,matched,matched
pythia-1.4b,draw_2,medium,high,2451,tokenwise_mean_corrupt,0.0666666666666666,0.5955555555555555,matched,matched
pythia-1.4b,draw_2,medium,very_high,2451,tokenwise_mean_corrupt,0.1244444444444444,0.6711111111111111,matched,matched
pythia-1.4b,draw_2,medium,control,2451,tokenwise_mean_corrupt,0.1022222222222222,0.6,matched,matched
