model,draw,source_band,test_band,n_edges,ablation,accuracy,top5_accuracy,source_variant,test_variant
pythia-1b,draw_1,very_low,very_low,940,tokenwise_mean_corrupt,0.4711111111111111,0.6977777777777778,unmatched,unmatched
pythia-1b,draw_1,very_low,low,940,tokenwise_mean_corrupt,0.2222222222222222,0.48,unmatched,matched
pythia-1b,draw_1,very_low,medium,940,tokenwise_mean_corrupt,0.3288888888888889,0.6133333333333333,unmatched,matched
pythia-1b,draw_1,very_low,high,940,tokenwise_mean_corrupt,0.2666666666666666,0.4933333333333333,unmatched,matched
pythia-1b,draw_1,very_low,very_high,940,tokenwise_mean_corrupt,0.2222222222222222,0.5066666666666667,unmatched,matched
pythia-1b,draw_1,very_low,control,940,tokenwise_mean_corrupt,0.2311111111111111,0.4222222222222222,unmatched,matched
pythia-1b,draw_1,low,very_low,972,tokenwise_mean_corrupt,0.6177777777777778,0.7155555555555555,matched,unmatched
pythia-1b,draw_1,low,low,972,tokenwise_mean_corrupt,0.4533333333333333,0.6977777777777778,matched,matched
pythia-1b,draw_1,low,medium,972,tokenwise_mean_corrupt,0.5333333333333333,0.7466666666666667,matched,matched
pythia-1b,draw_1,low,high,972,tokenwise_mean_corrupt,0.4222222222222222,0.68,matched,matched
pythia-1b,draw_1,low,very_high,972,tokenwise_mean_corrupt,0.4888888888888889,0.6666666666666666,matched,matched
pythia-1b,draw_1,low,control,972,tokenwise_mean_corrupt,0.5022222222222222,0.6844444444444444,matched,matched
pythia-1b,draw_1,medium,very_low,904,tokenwise_mean_corrupt,0.5466666666666666,0.7022222222222222,matched,unmatched
pythia-1b,draw_1,medium,low,904,tokenwise_mean_corrupt,0.4311111111111111,0.6666666666666666,matched,matched
pythia-1b,draw_1,medium,medium,904,tokenwise_mean_corrupt,0.5288888888888889,0.7955555555555556,matched,matched
pythia-1b,draw_1,medium,high,904,tokenwise_mean_corrupt,0.4311111111111111,0.7377777777777778,matched,matched
pythia-1b,draw_1,medium,very_high,904,tokenwise_mean_corrupt,0.4355555555555555,0.7466666666666667,matched,matched
pythia-1b,draw_1,medium,control,904,tokenwise_mean_corrupt,0.4355555555555555,0.7377777777777778,matched,matched
pythia-1b,draw_1,high,very_low,1002,tokenwise_mean_corrupt,0.5733333333333334,0.7288888888888889,matched,unmatched
pythia-1b,draw_1,high,low,1002,tokenwise_mean_corrupt,0.0622222222222222,0.1333333333333333,matched,matched
pythia-1b,draw_1,high,medium,1002,tokenwise_mean_corrupt,0.32,0.5644444444444444,matched,matched
pythia-1b,draw_1,high,high,1002,tokenwise_mean_corrupt,0.4622222222222222,0.6844444444444444,matched,matched
pythia-1b,draw_1,high,very_high,1002,tokenwise_mean_corrupt,0.4933333333333333,0.7022222222222222,matched,matched
pythia-1b,draw_1,high,control,1002,tokenwise_mean_corrupt,0.52,0.7377777777777778,matched,matched
pythia-1b,draw_1,very_high,very_low,817,tokenwise_mean_corrupt,0.1155555555555555,0.2933333333333333,matched,unmatched
pythia-1b,draw_1,very_high,low,817,tokenwise_mean_corrupt,0.0444444444444444,0.12,matched,matched
pythia-1b,draw_1,very_high,medium,817,tokenwise_mean_corrupt,0.0177777777777777,0.1066666666666666,matched,matched
pythia-1b,draw_1,very_high,high,817,tokenwise_mean_corrupt,0.1955555555555555,0.4266666666666667,matched,matched
pythia-1b,draw_1,very_high,very_high,817,tokenwise_mean_corrupt,0.4,0.6177777777777778,matched,matched
pythia-1b,draw_1,very_high,control,817,tokenwise_mean_corrupt,0.2844444444444444,0.5644444444444444,matched,matched
pythia-1b,draw_1,control,very_low,928,tokenwise_mean_corrupt,0.5422222222222223,0.7022222222222222,matched,unmatched
pythia-1b,draw_1,control,low,928,tokenwise_mean_corrupt,0.2311111111111111,0.4622222222222222,matched,matched
pythia-1b,draw_1,control,medium,928,tokenwise_mean_corrupt,0.2844444444444444,0.5466666666666666,matched,matched
pythia-1b,draw_1,control,high,928,tokenwise_mean_corrupt,0.4266666666666667,0.7066666666666667,matched,matched
pythia-1b,draw_1,control,very_high,928,tokenwise_mean_corrupt,0.5733333333333334,0.7822222222222223,matched,matched
pythia-1b,draw_1,control,control,928,tokenwise_mean_corrupt,0.5377777777777778,0.7911111111111111,matched,matched
pythia-1b,draw_2,very_low,very_low,911,tokenwise_mean_corrupt,0.2577777777777778,0.3866666666666666,unmatched,unmatched
pythia-1b,draw_2,very_low,low,911,tokenwise_mean_corrupt,0.1288888888888889,0.2933333333333333,unmatched,matched
pythia-1b,draw_2,very_low,medium,911,tokenwise_mean_corrupt,0.1511111111111111,0.3866666666666666,unmatched,matched
pythia-1b,draw_2,very_low,high,911,tokenwise_mean_corrupt,0.1111111111111111,0.3022222222222222,unmatched,matched
pythia-1b,draw_2,very_low,very_high,911,tokenwise_mean_corrupt,0.12,0.28,unmatched,matched
pythia-1b,draw_2,very_low,control,911,tokenwise_mean_corrupt,0.0533333333333333,0.2844444444444444,unmatched,matched
pythia-1b,draw_2,low,very_low,952,tokenwise_mean_corrupt,0.5555555555555556,0.76,matched,unmatched
pythia-1b,draw_2,low,low,952,tokenwise_mean_corrupt,0.4266666666666667,0.7377777777777778,matched,matched
pythia-1b,draw_2,low,medium,952,tokenwise_mean_corrupt,0.4888888888888889,0.8266666666666667,matched,matched
pythia-1b,draw_2,low,high,952,tokenwise_mean_corrupt,0.4444444444444444,0.6311111111111111,matched,matched
pythia-1b,draw_2,low,very_high,952,tokenwise_mean_corrupt,0.5066666666666667,0.7155555555555555,matched,matched
pythia-1b,draw_2,low,control,952,tokenwise_mean_corrupt,0.4622222222222222,0.7111111111111111,matched,matched
pythia-1b,draw_2,medium,very_low,1007,tokenwise_mean_corrupt,0.6711111111111111,0.7955555555555556,matched,unmatched
pythia-1b,draw_2,medium,low,1007,tokenwise_mean_corrupt,0.4711111111111111,0.7022222222222222,matched,matched
pythia-1b,draw_2,medium,medium,1007,tokenwise_mean_corrupt,0.5822222222222222,0.8355555555555556,matched,matched
pythia-1b,draw_2,medium,high,1007,tokenwise_mean_corrupt,0.6044444444444445,0.7911111111111111,matched,matched
pythia-1b,draw_2,medium,very_high,1007,tokenwise_mean_corrupt,0.5466666666666666,0.7688888888888888,matched,matched
pythia-1b,draw_2,medium,control,1007,tokenwise_mean_corrupt,0.4933333333333333,0.7422222222222222,matched,matched
pythia-1b,draw_2,high,very_low,902,tokenwise_mean_corrupt,0.2844444444444444,0.4711111111111111,matched,unmatched
pythia-1b,draw_2,high,low,902,tokenwise_mean_corrupt,0.0533333333333333,0.1288888888888889,matched,matched
pythia-1b,draw_2,high,medium,902,tokenwise_mean_corrupt,0.0888888888888888,0.2355555555555555,matched,matched
pythia-1b,draw_2,high,high,902,tokenwise_mean_corrupt,0.1244444444444444,0.3466666666666667,matched,matched
pythia-1b,draw_2,high,very_high,902,tokenwise_mean_corrupt,0.2977777777777777,0.5688888888888889,matched,matched
pythia-1b,draw_2,high,control,902,tokenwise_mean_corrupt,0.2,0.44,matched,matched
pythia-1b,draw_2,very_high,very_low,911,tokenwise_mean_corrupt,0.1866666666666666,0.3422222222222222,matched,unmatched
pythia-1b,draw_2,very_high,low,911,tokenwise_mean_corrupt,0.1333333333333333,0.3111111111111111,matched,matched
pythia-1b,draw_2,very_high,medium,911,tokenwise_mean_corrupt,0.2177777777777777,0.4088888888888889,matched,matched
pythia-1b,draw_2,very_high,high,911,tokenwise_mean_corrupt,0.2977777777777777,0.52,matched,matched
pythia-1b,draw_2,very_high,very_high,911,tokenwise_mean_corrupt,0.3155555555555555,0.6355555555555555,matched,matched
pythia-1b,draw_2,very_high,control,911,tokenwise_mean_corrupt,0.3555555555555555,0.6177777777777778,matched,matched
pythia-1b,draw_2,control,very_low,823,tokenwise_mean_corrupt,0.1377777777777777,0.2355555555555555,matched,unmatched
pythia-1b,draw_2,control,low,823,tokenwise_mean_corrupt,0.1066666666666666,0.2977777777777777,matched,matched
pythia-1b,draw_2,control,medium,823,tokenwise_mean_corrupt,0.2,0.4133333333333333,matched,matched
pythia-1b,draw_2,control,high,823,tokenwise_mean_corrupt,0.2133333333333333,0.4711111111111111,matched,matched
pythia-1b,draw_2,control,very_high,823,tokenwise_mean_corrupt,0.3466666666666667,0.6222222222222222,matched,matched
pythia-1b,draw_2,control,control,823,tokenwise_mean_corrupt,0.32,0.5644444444444444,matched,matched
pythia-1b,draw_3,very_low,very_low,922,tokenwise_mean_corrupt,0.5111111111111111,0.7333333333333333,unmatched,unmatched
pythia-1b,draw_3,very_low,low,922,tokenwise_mean_corrupt,0.2888888888888888,0.6133333333333333,unmatched,matched
pythia-1b,draw_3,very_low,medium,922,tokenwise_mean_corrupt,0.36,0.6133333333333333,unmatched,matched
pythia-1b,draw_3,very_low,high,922,tokenwise_mean_corrupt,0.3022222222222222,0.6488888888888888,unmatched,matched
pythia-1b,draw_3,very_low,very_high,922,tokenwise_mean_corrupt,0.2311111111111111,0.4711111111111111,unmatched,matched
pythia-1b,draw_3,very_low,control,922,tokenwise_mean_corrupt,0.2711111111111111,0.5377777777777778,unmatched,matched
pythia-1b,draw_3,low,very_low,978,tokenwise_mean_corrupt,0.7022222222222222,0.8222222222222222,matched,unmatched
pythia-1b,draw_3,low,low,978,tokenwise_mean_corrupt,0.6266666666666667,0.7822222222222223,matched,matched
pythia-1b,draw_3,low,medium,978,tokenwise_mean_corrupt,0.6622222222222223,0.8044444444444444,matched,matched
pythia-1b,draw_3,low,high,978,tokenwise_mean_corrupt,0.6311111111111111,0.8,matched,matched
pythia-1b,draw_3,low,very_high,978,tokenwise_mean_corrupt,0.4622222222222222,0.6577777777777778,matched,matched
pythia-1b,draw_3,low,control,978,tokenwise_mean_corrupt,0.5422222222222223,0.7422222222222222,matched,matched
pythia-1b,draw_3,medium,very_low,900,tokenwise_mean_corrupt,0.3555555555555555,0.5866666666666667,matched,unmatched
pythia-1b,draw_3,medium,low,900,tokenwise_mean_corrupt,0.2933333333333333,0.5822222222222222,matched,matched
pythia-1b,draw_3,medium,medium,900,tokenwise_mean_corrupt,0.4,0.6444444444444445,matched,matched
pythia-1b,draw_3,medium,high,900,tokenwise_mean_corrupt,0.4177777777777778,0.7511111111111111,matched,matched
pythia-1b,draw_3,medium,very_high,900,tokenwise_mean_corrupt,0.3644444444444444,0.7022222222222222,matched,matched
pythia-1b,draw_3,medium,control,900,tokenwise_mean_corrupt,0.4,0.6711111111111111,matched,matched
pythia-1b,draw_3,high,very_low,945,tokenwise_mean_corrupt,0.4355555555555555,0.6711111111111111,matched,unmatched
pythia-1b,draw_3,high,low,945,tokenwise_mean_corrupt,0.1955555555555555,0.3822222222222222,matched,matched
pythia-1b,draw_3,high,medium,945,tokenwise_mean_corrupt,0.2088888888888889,0.3777777777777777,matched,matched
pythia-1b,draw_3,high,high,945,tokenwise_mean_corrupt,0.3066666666666666,0.52,matched,matched
pythia-1b,draw_3,high,very_high,945,tokenwise_mean_corrupt,0.4533333333333333,0.6711111111111111,matched,matched
pythia-1b,draw_3,high,control,945,tokenwise_mean_corrupt,0.3288888888888889,0.5644444444444444,matched,matched
pythia-1b,draw_3,very_high,very_low,812,tokenwise_mean_corrupt,0.1777777777777777,0.3555555555555555,matched,unmatched
pythia-1b,draw_3,very_high,low,812,tokenwise_mean_corrupt,0.1688888888888889,0.3866666666666666,matched,matched
pythia-1b,draw_3,very_high,medium,812,tokenwise_mean_corrupt,0.1777777777777777,0.3733333333333333,matched,matched
pythia-1b,draw_3,very_high,high,812,tokenwise_mean_corrupt,0.2088888888888889,0.4533333333333333,matched,matched
pythia-1b,draw_3,very_high,very_high,812,tokenwise_mean_corrupt,0.2711111111111111,0.56,matched,matched
pythia-1b,draw_3,very_high,control,812,tokenwise_mean_corrupt,0.3466666666666667,0.5688888888888889,matched,matched
pythia-1b,draw_3,control,very_low,870,tokenwise_mean_corrupt,0.4444444444444444,0.6488888888888888,matched,unmatched
pythia-1b,draw_3,control,low,870,tokenwise_mean_corrupt,0.4044444444444444,0.7155555555555555,matched,matched
pythia-1b,draw_3,control,medium,870,tokenwise_mean_corrupt,0.4933333333333333,0.8,matched,matched
