model,draw,source_band,test_band,n_edges,ablation,accuracy,top5_accuracy,source_variant,test_variant
pythia-410m,draw_1,very_low,very_low,3742,tokenwise_mean_corrupt,0.5822222222222222,0.7244444444444444,unmatched,unmatched
pythia-410m,draw_1,very_low,low,3742,tokenwise_mean_corrupt,0.4,0.6577777777777778,unmatched,matched
pythia-410m,draw_1,very_low,medium,3742,tokenwise_mean_corrupt,0.5155555555555555,0.7511111111111111,unmatched,matched
pythia-410m,draw_1,very_low,high,3742,tokenwise_mean_corrupt,0.4355555555555555,0.6177777777777778,unmatched,matched
pythia-410m,draw_1,very_low,very_high,3742,tokenwise_mean_corrupt,0.3466666666666667,0.6222222222222222,unmatched,matched
pythia-410m,draw_1,very_low,control,3742,tokenwise_mean_corrupt,0.3688888888888889,0.6311111111111111,unmatched,matched
pythia-410m,draw_1,low,very_low,3957,tokenwise_mean_corrupt,0.4133333333333333,0.64,matched,unmatched
pythia-410m,draw_1,low,low,3957,tokenwise_mean_corrupt,0.3511111111111111,0.6355555555555555,matched,matched
pythia-410m,draw_1,low,medium,3957,tokenwise_mean_corrupt,0.3555555555555555,0.5911111111111111,matched,matched
pythia-410m,draw_1,low,high,3957,tokenwise_mean_corrupt,0.24,0.4088888888888889,matched,matched
pythia-410m,draw_1,low,very_high,3957,tokenwise_mean_corrupt,0.1511111111111111,0.3777777777777777,matched,matched
pythia-410m,draw_1,low,control,3957,tokenwise_mean_corrupt,0.1555555555555555,0.3466666666666667,matched,matched
pythia-410m,draw_1,medium,very_low,3809,tokenwise_mean_corrupt,0.0177777777777777,0.04,matched,unmatched
pythia-410m,draw_1,medium,low,3809,tokenwise_mean_corrupt,0.0444444444444444,0.0666666666666666,matched,matched
pythia-410m,draw_1,medium,medium,3809,tokenwise_mean_corrupt,0.0622222222222222,0.0977777777777777,matched,matched
pythia-410m,draw_1,medium,high,3809,tokenwise_mean_corrupt,0.2044444444444444,0.3777777777777777,matched,matched
pythia-410m,draw_1,medium,very_high,3809,tokenwise_mean_corrupt,0.3466666666666667,0.7022222222222222,matched,matched
pythia-410m,draw_1,medium,control,3809,tokenwise_mean_corrupt,0.0666666666666666,0.1333333333333333,matched,matched
pythia-410m,draw_1,high,very_low,3480,tokenwise_mean_corrupt,0.7288888888888889,0.88,matched,unmatched
pythia-410m,draw_1,high,low,3480,tokenwise_mean_corrupt,0.56,0.8266666666666667,matched,matched
pythia-410m,draw_1,high,medium,3480,tokenwise_mean_corrupt,0.6977777777777778,0.9377777777777778,matched,matched
pythia-410m,draw_1,high,high,3480,tokenwise_mean_corrupt,0.6888888888888889,0.9022222222222224,matched,matched
pythia-410m,draw_1,high,very_high,3480,tokenwise_mean_corrupt,0.6444444444444445,0.8888888888888888,matched,matched
pythia-410m,draw_1,high,control,3480,tokenwise_mean_corrupt,0.6,0.8977777777777778,matched,matched
pythia-410m,draw_1,very_high,very_low,3131,tokenwise_mean_corrupt,0.1466666666666666,0.3688888888888889,matched,unmatched
pythia-410m,draw_1,very_high,low,3131,tokenwise_mean_corrupt,0.0444444444444444,0.1111111111111111,matched,matched
pythia-410m,draw_1,very_high,medium,3131,tokenwise_mean_corrupt,0.0977777777777777,0.2133333333333333,matched,matched
pythia-410m,draw_1,very_high,high,3131,tokenwise_mean_corrupt,0.2577777777777778,0.4266666666666667,matched,matched
