model,draw,universal_kind,test_band,n_edges,ablation,accuracy,top5_accuracy
pythia-70m,draw_1,univ6,very_low,285,tokenwise_mean_corrupt,0.08,0.25333333333333335
pythia-70m,draw_1,univ6,low,285,tokenwise_mean_corrupt,0.09333333333333334,0.28888888888888886
pythia-70m,draw_1,univ6,medium,285,tokenwise_mean_corrupt,0.20444444444444446,0.36
pythia-70m,draw_1,univ6,high,285,tokenwise_mean_corrupt,0.26222222222222225,0.40444444444444444
pythia-70m,draw_1,univ6,very_high,285,tokenwise_mean_corrupt,0.37777777777777777,0.6355555555555555
pythia-70m,draw_1,univ6,control,285,tokenwise_mean_corrupt,0.31555555555555553,0.5111111111111111
pythia-70m,draw_1,univ5,very_low,297,tokenwise_mean_corrupt,0.09333333333333334,0.27111111111111114
pythia-70m,draw_1,univ5,low,297,tokenwise_mean_corrupt,0.12444444444444444,0.3244444444444444
pythia-70m,draw_1,univ5,medium,297,tokenwise_mean_corrupt,0.2088888888888889,0.37777777777777777
pythia-70m,draw_1,univ5,high,297,tokenwise_mean_corrupt,0.28444444444444444,0.40444444444444444
pythia-70m,draw_1,univ5,very_high,297,tokenwise_mean_corrupt,0.4222222222222222,0.6711111111111111
pythia-70m,draw_1,univ5,control,297,tokenwise_mean_corrupt,0.35555555555555557,0.5822222222222222
pythia-70m,draw_2,univ6,very_low,284,tokenwise_mean_corrupt,0.09333333333333334,0.30666666666666664
pythia-70m,draw_2,univ6,low,284,tokenwise_mean_corrupt,0.19111111111111112,0.3688888888888889
pythia-70m,draw_2,univ6,medium,284,tokenwise_mean_corrupt,0.22666666666666666,0.43555555555555553
pythia-70m,draw_2,univ6,high,284,tokenwise_mean_corrupt,0.24888888888888888,0.5377777777777778
pythia-70m,draw_2,univ6,very_high,284,tokenwise_mean_corrupt,0.4311111111111111,0.68
pythia-70m,draw_2,univ6,control,284,tokenwise_mean_corrupt,0.4,0.6177777777777778
pythia-70m,draw_2,univ5,very_low,297,tokenwise_mean_corrupt,0.1288888888888889,0.29777777777777775
pythia-70m,draw_2,univ5,low,297,tokenwise_mean_corrupt,0.22666666666666666,0.39111111111111113
pythia-70m,draw_2,univ5,medium,297,tokenwise_mean_corrupt,0.2577777777777778,0.4622222222222222
pythia-70m,draw_2,univ5,high,297,tokenwise_mean_corrupt,0.29333333333333333,0.5466666666666666
pythia-70m,draw_2,univ5,very_high,297,tokenwise_mean_corrupt,0.44,0.6888888888888889
pythia-70m,draw_2,univ5,control,297,tokenwise_mean_corrupt,0.44,0.6311111111111111
pythia-70m,draw_3,univ6,very_low,292,tokenwise_mean_corrupt,0.15555555555555556,0.3422222222222222
pythia-70m,draw_3,univ6,low,292,tokenwise_mean_corrupt,0.1288888888888889,0.28
pythia-70m,draw_3,univ6,medium,292,tokenwise_mean_corrupt,0.25333333333333335,0.4311111111111111
pythia-70m,draw_3,univ6,high,292,tokenwise_mean_corrupt,0.3333333333333333,0.5733333333333334
pythia-70m,draw_3,univ6,very_high,292,tokenwise_mean_corrupt,0.48444444444444446,0.6933333333333334
pythia-70m,draw_3,univ6,control,292,tokenwise_mean_corrupt,0.4577777777777778,0.6533333333333333
pythia-70m,draw_3,univ5,very_low,311,tokenwise_mean_corrupt,0.16444444444444445,0.3422222222222222
pythia-70m,draw_3,univ5,low,311,tokenwise_mean_corrupt,0.14222222222222222,0.28888888888888886
pythia-70m,draw_3,univ5,medium,311,tokenwise_mean_corrupt,0.26222222222222225,0.4266666666666667
pythia-70m,draw_3,univ5,high,311,tokenwise_mean_corrupt,0.37777777777777777,0.5777777777777777
pythia-70m,draw_3,univ5,very_high,311,tokenwise_mean_corrupt,0.5288888888888889,0.7288888888888889
pythia-70m,draw_3,univ5,control,311,tokenwise_mean_corrupt,0.4888888888888889,0.6933333333333334
