model,draw,source_band,test_band,n_edges,ablation,accuracy,top5_accuracy,source_variant,test_variant
pythia-160m,draw_1,very_low,very_low,1278,zero,0.0177777777777777,0.0844444444444444,unmatched,unmatched
pythia-160m,draw_1,very_low,low,1278,zero,0.0444444444444444,0.1422222222222222,unmatched,matched
pythia-160m,draw_1,very_low,medium,1278,zero,0.0888888888888888,0.2044444444444444,unmatched,matched
pythia-160m,draw_1,very_low,high,1278,zero,0.0888888888888888,0.1822222222222222,unmatched,matched
pythia-160m,draw_1,very_low,very_high,1278,zero,0.0622222222222222,0.1688888888888889,unmatched,matched
pythia-160m,draw_1,very_low,control,1278,zero,0.0755555555555555,0.1111111111111111,unmatched,matched
pythia-160m,draw_1,low,very_low,1463,zero,0.0088888888888888,0.0577777777777777,matched,unmatched
pythia-160m,draw_1,low,low,1463,zero,0.0044444444444444,0.0355555555555555,matched,matched
pythia-160m,draw_1,low,medium,1463,zero,0.0088888888888888,0.0755555555555555,matched,matched
pythia-160m,draw_1,low,high,1463,zero,0.0088888888888888,0.0755555555555555,matched,matched
pythia-160m,draw_1,low,very_high,1463,zero,0.0088888888888888,0.08,matched,matched
pythia-160m,draw_1,low,control,1463,zero,0.0133333333333333,0.0311111111111111,matched,matched
pythia-160m,draw_1,medium,very_low,1446,zero,0.1288888888888889,0.2711111111111111,matched,unmatched
pythia-160m,draw_1,medium,low,1446,zero,0.1511111111111111,0.3244444444444444,matched,matched
pythia-160m,draw_1,medium,medium,1446,zero,0.2,0.3822222222222222,matched,matched
pythia-160m,draw_1,medium,high,1446,zero,0.2355555555555555,0.3422222222222222,matched,matched
pythia-160m,draw_1,medium,very_high,1446,zero,0.1911111111111111,0.3377777777777778,matched,matched
pythia-160m,draw_1,medium,control,1446,zero,0.1822222222222222,0.3422222222222222,matched,matched
pythia-160m,draw_1,high,very_low,1360,zero,0.0311111111111111,0.2488888888888888,matched,unmatched
pythia-160m,draw_1,high,low,1360,zero,0.0488888888888888,0.3644444444444444,matched,matched
pythia-160m,draw_1,high,medium,1360,zero,0.0888888888888888,0.4355555555555555,matched,matched
pythia-160m,draw_1,high,high,1360,zero,0.1555555555555555,0.5288888888888889,matched,matched
pythia-160m,draw_1,high,very_high,1360,zero,0.1777777777777777,0.5422222222222223,matched,matched
pythia-160m,draw_1,high,control,1360,zero,0.1955555555555555,0.5511111111111111,matched,matched
pythia-160m,draw_1,very_high,very_low,1358,zero,0.0311111111111111,0.1066666666666666,matched,unmatched
pythia-160m,draw_1,very_high,low,1358,zero,0.0577777777777777,0.1377777777777777,matched,matched
pythia-160m,draw_1,very_high,medium,1358,zero,0.0933333333333333,0.2088888888888889,matched,matched
pythia-160m,draw_1,very_high,high,1358,zero,0.12,0.2666666666666666,matched,matched
pythia-160m,draw_1,very_high,very_high,1358,zero,0.1333333333333333,0.2711111111111111,matched,matched
pythia-160m,draw_1,very_high,control,1358,zero,0.1333333333333333,0.2533333333333333,matched,matched
pythia-160m,draw_1,control,very_low,1392,zero,0.04,0.0977777777777777,matched,unmatched
pythia-160m,draw_1,control,low,1392,zero,0.04,0.1066666666666666,matched,matched
pythia-160m,draw_1,control,medium,1392,zero,0.0844444444444444,0.1733333333333333,matched,matched
pythia-160m,draw_1,control,high,1392,zero,0.1066666666666666,0.2222222222222222,matched,matched
pythia-160m,draw_1,control,very_high,1392,zero,0.1333333333333333,0.2933333333333333,matched,matched
pythia-160m,draw_1,control,control,1392,zero,0.0977777777777777,0.24,matched,matched
pythia-160m,draw_2,very_low,very_low,1334,zero,0.0,0.0311111111111111,unmatched,unmatched
pythia-160m,draw_2,very_low,low,1334,zero,0.0133333333333333,0.0355555555555555,unmatched,matched
pythia-160m,draw_2,very_low,medium,1334,zero,0.0,0.0133333333333333,unmatched,matched
pythia-160m,draw_2,very_low,high,1334,zero,0.0088888888888888,0.0177777777777777,unmatched,matched
pythia-160m,draw_2,very_low,very_high,1334,zero,0.0222222222222222,0.0355555555555555,unmatched,matched
pythia-160m,draw_2,very_low,control,1334,zero,0.0088888888888888,0.0311111111111111,unmatched,matched
pythia-160m,draw_2,low,very_low,1483,zero,0.0088888888888888,0.04,matched,unmatched
pythia-160m,draw_2,low,low,1483,zero,0.0088888888888888,0.0488888888888888,matched,matched
pythia-160m,draw_2,low,medium,1483,zero,0.0044444444444444,0.0355555555555555,matched,matched
pythia-160m,draw_2,low,high,1483,zero,0.0177777777777777,0.0444444444444444,matched,matched
pythia-160m,draw_2,low,very_high,1483,zero,0.0133333333333333,0.0266666666666666,matched,matched
pythia-160m,draw_2,low,control,1483,zero,0.0133333333333333,0.04,matched,matched
pythia-160m,draw_2,medium,very_low,1513,zero,0.0844444444444444,0.2044444444444444,matched,unmatched
pythia-160m,draw_2,medium,low,1513,zero,0.1066666666666666,0.2444444444444444,matched,matched
pythia-160m,draw_2,medium,medium,1513,zero,0.1111111111111111,0.2666666666666666,matched,matched
pythia-160m,draw_2,medium,high,1513,zero,0.1377777777777777,0.3022222222222222,matched,matched
pythia-160m,draw_2,medium,very_high,1513,zero,0.1955555555555555,0.3422222222222222,matched,matched
pythia-160m,draw_2,medium,control,1513,zero,0.1822222222222222,0.3644444444444444,matched,matched
pythia-160m,draw_2,high,very_low,1454,zero,0.0133333333333333,0.0933333333333333,matched,unmatched
pythia-160m,draw_2,high,low,1454,zero,0.0444444444444444,0.1155555555555555,matched,matched
