model,draw,universal_kind,test_band,n_edges,ablation,accuracy,top5_accuracy
pythia-410m,draw_1,univ6,very_low,1183,zero,0.0,0.0
pythia-410m,draw_1,univ6,low,1183,zero,0.0,0.0
pythia-410m,draw_1,univ6,medium,1183,zero,0.0,0.0
pythia-410m,draw_1,univ6,high,1183,zero,0.0,0.0
pythia-410m,draw_1,univ6,very_high,1183,zero,0.0,0.0
pythia-410m,draw_1,univ6,control,1183,zero,0.0,0.0
pythia-410m,draw_1,univ5,very_low,1283,zero,0.0,0.0
pythia-410m,draw_1,univ5,low,1283,zero,0.0,0.0
pythia-410m,draw_1,univ5,medium,1283,zero,0.0,0.0
pythia-410m,draw_1,univ5,high,1283,zero,0.0,0.0
pythia-410m,draw_1,univ5,very_high,1283,zero,0.0,0.0
pythia-410m,draw_1,univ5,control,1283,zero,0.0,0.0
pythia-410m,draw_2,univ6,very_low,1183,zero,0.0,0.0
pythia-410m,draw_2,univ6,low,1183,zero,0.0,0.0
pythia-410m,draw_2,univ6,medium,1183,zero,0.0,0.0
pythia-410m,draw_2,univ6,high,1183,zero,0.0,0.0
pythia-410m,draw_2,univ6,very_high,1183,zero,0.0,0.0
pythia-410m,draw_2,univ6,control,1183,zero,0.0,0.0
pythia-410m,draw_2,univ5,very_low,1301,zero,0.0,0.0
pythia-410m,draw_2,univ5,low,1301,zero,0.0,0.0
pythia-410m,draw_2,univ5,medium,1301,zero,0.0,0.0
pythia-410m,draw_2,univ5,high,1301,zero,0.0,0.0
pythia-410m,draw_2,univ5,very_high,1301,zero,0.0,0.0
pythia-410m,draw_2,univ5,control,1301,zero,0.0,0.0
pythia-410m,draw_3,univ6,very_low,1198,zero,0.0,0.0
pythia-410m,draw_3,univ6,low,1198,zero,0.0,0.0
pythia-410m,draw_3,univ6,medium,1198,zero,0.0,0.0
pythia-410m,draw_3,univ6,high,1198,zero,0.0,0.0
pythia-410m,draw_3,univ6,very_high,1198,zero,0.0,0.0
pythia-410m,draw_3,univ6,control,1198,zero,0.0,0.0
pythia-410m,draw_3,univ5,very_low,1324,zero,0.0,0.0
pythia-410m,draw_3,univ5,low,1324,zero,0.0,0.0
pythia-410m,draw_3,univ5,medium,1324,zero,0.0,0.0
pythia-410m,draw_3,univ5,high,1324,zero,0.0,0.0
pythia-410m,draw_3,univ5,very_high,1324,zero,0.0,0.0
pythia-410m,draw_3,univ5,control,1324,zero,0.0,0.0
