method,model,band,draw,size_multiplier,n_edges,n_edges_acdc_ref,total_edges,size_fraction,n_edges_method,n_edges_acdc,n_intersection,n_union,jaccard,recall_in_acdc,recall_in_method,dice
eap_ig,pythia-70m,very_low,draw_1,0.1,38,385,1324,0.028700906344410877,38,385,38,385,0.0987012987012987,0.0987012987012987,1.0,0.17966903073286053
eap_ig,pythia-70m,very_low,draw_1,0.2,77,385,1324,0.0581570996978852,77,385,76,386,0.19689119170984457,0.1974025974025974,0.987012987012987,0.329004329004329
eap_ig,pythia-70m,very_low,draw_1,0.3,116,385,1324,0.08761329305135952,116,385,115,386,0.2979274611398964,0.2987012987012987,0.9913793103448276,0.4590818363273453
eap_ig,pythia-70m,very_low,draw_1,0.5,192,385,1324,0.14501510574018128,192,385,180,397,0.4534005037783375,0.4675324675324675,0.9375,0.6239168110918544
eap_ig,pythia-70m,very_low,draw_1,0.75,289,385,1324,0.21827794561933533,289,385,251,423,0.5933806146572104,0.6519480519480519,0.8685121107266436,0.744807121661721
eap_ig,pythia-70m,very_low,draw_1,1.0,385,385,1324,0.290785498489426,385,385,294,476,0.6176470588235294,0.7636363636363637,0.7636363636363637,0.7636363636363637
eap_ig,pythia-70m,very_low,draw_1,1.5,578,385,1324,0.43655589123867067,578,385,341,622,0.5482315112540193,0.8857142857142857,0.5899653979238755,0.7082035306334372
eap_ig,pythia-70m,very_low,draw_1,2.0,770,385,1324,0.581570996978852,770,385,365,790,0.4620253164556962,0.948051948051948,0.474025974025974,0.6320346320346321
eap_ig,pythia-70m,very_low,draw_1,3.0,1155,385,1324,0.872356495468278,1155,385,382,1158,0.3298791018998273,0.9922077922077922,0.3307359307359307,0.4961038961038961
eap_ig,pythia-70m,very_low,draw_1,5.0,1324,385,1324,1.0,1324,385,385,1324,0.290785498489426,1.0,0.290785498489426,0.4505558806319485
eap_ig,pythia-70m,very_low,draw_2,0.1,38,385,1324,0.028700906344410877,38,385,38,385,0.0987012987012987,0.0987012987012987,1.0,0.17966903073286053
eap_ig,pythia-70m,very_low,draw_2,0.2,77,385,1324,0.0581570996978852,77,385,76,386,0.19689119170984457,0.1974025974025974,0.987012987012987,0.329004329004329
eap_ig,pythia-70m,very_low,draw_2,0.3,116,385,1324,0.08761329305135952,116,385,112,389,0.2879177377892031,0.2909090909090909,0.9655172413793104,0.4471057884231537
eap_ig,pythia-70m,very_low,draw_2,0.5,192,385,1324,0.14501510574018128,192,385,182,395,0.4607594936708861,0.4727272727272727,0.9479166666666666,0.6308492201039861
