model,draw,source_band,test_band,n_edges,accuracy,top5_accuracy,source_variant,test_variant
pythia-1b,draw_1,very_low,very_low,940,0.9333333333333332,0.9911111111111112,unmatched,unmatched
pythia-1b,draw_1,very_low,low,940,0.8711111111111111,0.96,unmatched,matched
pythia-1b,draw_1,very_low,medium,940,0.9555555555555556,0.9911111111111112,unmatched,matched
pythia-1b,draw_1,very_low,high,940,0.8933333333333333,0.9733333333333334,unmatched,matched
pythia-1b,draw_1,very_low,very_high,940,0.8888888888888888,0.9555555555555556,unmatched,matched
pythia-1b,draw_1,very_low,control,940,0.8844444444444445,0.9555555555555556,unmatched,matched
pythia-1b,draw_1,low,very_low,972,0.8666666666666667,0.9733333333333334,matched,unmatched
pythia-1b,draw_1,low,low,972,0.8577777777777778,0.9733333333333334,matched,matched
pythia-1b,draw_1,low,medium,972,0.9377777777777778,0.9822222222222222,matched,matched
pythia-1b,draw_1,low,high,972,0.9244444444444444,0.9866666666666668,matched,matched
pythia-1b,draw_1,low,very_high,972,0.9066666666666666,0.9777777777777776,matched,matched
pythia-1b,draw_1,low,control,972,0.9155555555555556,0.9866666666666668,matched,matched
pythia-1b,draw_1,medium,very_low,904,0.8666666666666667,0.9511111111111112,matched,unmatched
pythia-1b,draw_1,medium,low,904,0.9111111111111112,0.9911111111111112,matched,matched
pythia-1b,draw_1,medium,medium,904,0.9466666666666668,0.9866666666666668,matched,matched
pythia-1b,draw_1,medium,high,904,0.9288888888888888,0.9777777777777776,matched,matched
pythia-1b,draw_1,medium,very_high,904,0.9155555555555556,0.9688888888888888,matched,matched
pythia-1b,draw_1,medium,control,904,0.9288888888888888,0.9777777777777776,matched,matched
pythia-1b,draw_1,high,very_low,1002,0.8,0.9466666666666668,matched,unmatched
pythia-1b,draw_1,high,low,1002,0.8577777777777778,0.96,matched,matched
pythia-1b,draw_1,high,medium,1002,0.9244444444444444,0.9777777777777776,matched,matched
pythia-1b,draw_1,high,high,1002,0.9155555555555556,0.9866666666666668,matched,matched
pythia-1b,draw_1,high,very_high,1002,0.9377777777777778,0.9866666666666668,matched,matched
pythia-1b,draw_1,high,control,1002,0.9288888888888888,0.9822222222222222,matched,matched
pythia-1b,draw_1,very_high,very_low,817,0.5111111111111111,0.7066666666666667,matched,unmatched
pythia-1b,draw_1,very_high,low,817,0.6222222222222222,0.8177777777777778,matched,matched
pythia-1b,draw_1,very_high,medium,817,0.8,0.9244444444444444,matched,matched
pythia-1b,draw_1,very_high,high,817,0.8933333333333333,0.9644444444444444,matched,matched
pythia-1b,draw_1,very_high,very_high,817,0.9288888888888888,0.9777777777777776,matched,matched
pythia-1b,draw_1,very_high,control,817,0.8933333333333333,0.9822222222222222,matched,matched
pythia-1b,draw_1,control,very_low,928,0.7244444444444444,0.8711111111111111,matched,unmatched
pythia-1b,draw_1,control,low,928,0.8133333333333334,0.9155555555555556,matched,matched
pythia-1b,draw_1,control,medium,928,0.9066666666666666,0.9688888888888888,matched,matched
pythia-1b,draw_1,control,high,928,0.9022222222222224,0.9822222222222222,matched,matched
pythia-1b,draw_1,control,very_high,928,0.9688888888888888,0.9955555555555556,matched,matched
pythia-1b,draw_1,control,control,928,0.9422222222222222,0.9822222222222222,matched,matched
pythia-1b,draw_2,very_low,very_low,911,0.8666666666666667,0.9555555555555556,unmatched,unmatched
pythia-1b,draw_2,very_low,low,911,0.9288888888888888,0.9955555555555556,unmatched,matched
pythia-1b,draw_2,very_low,medium,911,0.92,0.9688888888888888,unmatched,matched
pythia-1b,draw_2,very_low,high,911,0.8711111111111111,0.9688888888888888,unmatched,matched
pythia-1b,draw_2,very_low,very_high,911,0.7688888888888888,0.92,unmatched,matched
pythia-1b,draw_2,very_low,control,911,0.8044444444444444,0.9377777777777778,unmatched,matched
pythia-1b,draw_2,low,very_low,952,0.9022222222222224,0.9733333333333334,matched,unmatched
pythia-1b,draw_2,low,low,952,0.9377777777777778,0.9911111111111112,matched,matched
pythia-1b,draw_2,low,medium,952,0.9511111111111112,0.9866666666666668,matched,matched
pythia-1b,draw_2,low,high,952,0.9466666666666668,0.9866666666666668,matched,matched
pythia-1b,draw_2,low,very_high,952,0.9066666666666666,0.9866666666666668,matched,matched
pythia-1b,draw_2,low,control,952,0.92,0.9777777777777776,matched,matched
pythia-1b,draw_2,medium,very_low,1007,0.8711111111111111,0.9466666666666668,matched,unmatched
pythia-1b,draw_2,medium,low,1007,0.9066666666666666,0.9733333333333334,matched,matched
