model,draw,source_band,test_band,n_edges,accuracy,top5_accuracy,source_variant,test_variant
pythia-70m,draw_1,very_low,very_low,385,0.2266666666666666,0.3688888888888889,unmatched,unmatched
pythia-70m,draw_1,very_low,low,385,0.2311111111111111,0.4044444444444444,unmatched,matched
pythia-70m,draw_1,very_low,medium,385,0.3511111111111111,0.48,unmatched,matched
pythia-70m,draw_1,very_low,high,385,0.3244444444444444,0.5022222222222222,unmatched,matched
pythia-70m,draw_1,very_low,very_high,385,0.4444444444444444,0.6444444444444445,unmatched,matched
pythia-70m,draw_1,very_low,control,385,0.4266666666666667,0.5911111111111111,unmatched,matched
pythia-70m,draw_1,low,very_low,380,0.1955555555555555,0.3466666666666667,matched,unmatched
pythia-70m,draw_1,low,low,380,0.2088888888888889,0.3644444444444444,matched,matched
pythia-70m,draw_1,low,medium,380,0.3288888888888889,0.4622222222222222,matched,matched
pythia-70m,draw_1,low,high,380,0.3288888888888889,0.4666666666666667,matched,matched
pythia-70m,draw_1,low,very_high,380,0.4177777777777778,0.6088888888888889,matched,matched
pythia-70m,draw_1,low,control,380,0.4088888888888889,0.5777777777777777,matched,matched
pythia-70m,draw_1,medium,very_low,395,0.24,0.3955555555555555,matched,unmatched
pythia-70m,draw_1,medium,low,395,0.24,0.4355555555555555,matched,matched
pythia-70m,draw_1,medium,medium,395,0.3866666666666666,0.4933333333333333,matched,matched
pythia-70m,draw_1,medium,high,395,0.3866666666666666,0.5066666666666667,matched,matched
pythia-70m,draw_1,medium,very_high,395,0.5333333333333333,0.7111111111111111,matched,matched
pythia-70m,draw_1,medium,control,395,0.4355555555555555,0.6222222222222222,matched,matched
pythia-70m,draw_1,high,very_low,414,0.2355555555555555,0.3911111111111111,matched,unmatched
pythia-70m,draw_1,high,low,414,0.2577777777777778,0.4222222222222222,matched,matched
pythia-70m,draw_1,high,medium,414,0.3555555555555555,0.4933333333333333,matched,matched
pythia-70m,draw_1,high,high,414,0.3777777777777777,0.52,matched,matched
pythia-70m,draw_1,high,very_high,414,0.5022222222222222,0.68,matched,matched
pythia-70m,draw_1,high,control,414,0.4888888888888889,0.6755555555555556,matched,matched
pythia-70m,draw_1,very_high,very_low,424,0.2311111111111111,0.3688888888888889,matched,unmatched
pythia-70m,draw_1,very_high,low,424,0.2177777777777777,0.3955555555555555,matched,matched
pythia-70m,draw_1,very_high,medium,424,0.3555555555555555,0.4977777777777777,matched,matched
pythia-70m,draw_1,very_high,high,424,0.3644444444444444,0.5466666666666666,matched,matched
pythia-70m,draw_1,very_high,very_high,424,0.5377777777777778,0.7377777777777778,matched,matched
pythia-70m,draw_1,very_high,control,424,0.48,0.6888888888888889,matched,matched
pythia-70m,draw_1,control,very_low,435,0.2355555555555555,0.3555555555555555,matched,unmatched
pythia-70m,draw_1,control,low,435,0.2666666666666666,0.4222222222222222,matched,matched
pythia-70m,draw_1,control,medium,435,0.3644444444444444,0.4977777777777777,matched,matched
pythia-70m,draw_1,control,high,435,0.4,0.5288888888888889,matched,matched
pythia-70m,draw_1,control,very_high,435,0.5288888888888889,0.7377777777777778,matched,matched
pythia-70m,draw_1,control,control,435,0.5111111111111111,0.7022222222222222,matched,matched
pythia-70m,draw_2,very_low,very_low,385,0.2222222222222222,0.3466666666666667,unmatched,unmatched
pythia-70m,draw_2,very_low,low,385,0.2533333333333333,0.4355555555555555,unmatched,matched
pythia-70m,draw_2,very_low,medium,385,0.3111111111111111,0.4444444444444444,unmatched,matched
pythia-70m,draw_2,very_low,high,385,0.3288888888888889,0.5511111111111111,unmatched,matched
