model,draw,universal_kind,test_band,n_edges,accuracy,top5_accuracy
pythia-1.4b,draw_1,univ6,very_low,544,0.013333333333333334,0.06222222222222222
pythia-1.4b,draw_1,univ6,low,544,0.013333333333333334,0.04888888888888889
pythia-1.4b,draw_1,univ6,medium,544,0.03111111111111111,0.08888888888888889
pythia-1.4b,draw_1,univ6,high,544,0.022222222222222223,0.12
pythia-1.4b,draw_1,univ6,very_high,544,0.09777777777777778,0.24
pythia-1.4b,draw_1,univ6,control,544,0.08,0.19111111111111112
pythia-1.4b,draw_1,univ5,very_low,625,0.017777777777777778,0.08888888888888889
pythia-1.4b,draw_1,univ5,low,625,0.022222222222222223,0.07555555555555556
pythia-1.4b,draw_1,univ5,medium,625,0.057777777777777775,0.14666666666666667
pythia-1.4b,draw_1,univ5,high,625,0.04888888888888889,0.2311111111111111
pythia-1.4b,draw_1,univ5,very_high,625,0.16,0.3511111111111111
pythia-1.4b,draw_1,univ5,control,625,0.14222222222222222,0.28888888888888886
pythia-1.4b,draw_2,univ6,very_low,535,0.0044444444444444444,0.02666666666666667
pythia-1.4b,draw_2,univ6,low,535,0.0044444444444444444,0.013333333333333334
pythia-1.4b,draw_2,univ6,medium,535,0.0044444444444444444,0.02666666666666667
pythia-1.4b,draw_2,univ6,high,535,0.035555555555555556,0.10666666666666667
pythia-1.4b,draw_2,univ6,very_high,535,0.06222222222222222,0.17777777777777778
pythia-1.4b,draw_2,univ6,control,535,0.013333333333333334,0.10666666666666667
pythia-1.4b,draw_2,univ5,very_low,616,0.008888888888888889,0.04
pythia-1.4b,draw_2,univ5,low,616,0.008888888888888889,0.02666666666666667
pythia-1.4b,draw_2,univ5,medium,616,0.017777777777777778,0.057777777777777775
pythia-1.4b,draw_2,univ5,high,616,0.05333333333333334,0.19111111111111112
pythia-1.4b,draw_2,univ5,very_high,616,0.14222222222222222,0.29333333333333333
pythia-1.4b,draw_2,univ5,control,616,0.06666666666666667,0.2
pythia-1.4b,draw_3,univ6,very_low,523,0.04888888888888889,0.14666666666666667
pythia-1.4b,draw_3,univ6,low,523,0.03111111111111111,0.09333333333333334
pythia-1.4b,draw_3,univ6,medium,523,0.057777777777777775,0.21333333333333335
pythia-1.4b,draw_3,univ6,high,523,0.14666666666666667,0.3244444444444444
pythia-1.4b,draw_3,univ6,very_high,523,0.14666666666666667,0.3333333333333333
pythia-1.4b,draw_3,univ6,control,523,0.17333333333333334,0.38222222222222224
pythia-1.4b,draw_3,univ5,very_low,619,0.10222222222222223,0.25333333333333335
pythia-1.4b,draw_3,univ5,low,619,0.07111111111111111,0.16444444444444445
pythia-1.4b,draw_3,univ5,medium,619,0.14222222222222222,0.28444444444444444
pythia-1.4b,draw_3,univ5,high,619,0.28444444444444444,0.5111111111111111
pythia-1.4b,draw_3,univ5,very_high,619,0.28888888888888886,0.52
pythia-1.4b,draw_3,univ5,control,619,0.3466666666666667,0.5244444444444445
