model,draw,universal_kind,test_band,n_edges,accuracy,top5_accuracy
pythia-70m,draw_1,univ6,very_low,285,0.14666666666666667,0.29777777777777775
pythia-70m,draw_1,univ6,low,285,0.1511111111111111,0.30666666666666664
pythia-70m,draw_1,univ6,medium,285,0.2577777777777778,0.4
pythia-70m,draw_1,univ6,high,285,0.28,0.4266666666666667
pythia-70m,draw_1,univ6,very_high,285,0.3422222222222222,0.5466666666666666
pythia-70m,draw_1,univ6,control,285,0.29777777777777775,0.52
pythia-70m,draw_1,univ5,very_low,297,0.17333333333333334,0.3244444444444444
pythia-70m,draw_1,univ5,low,297,0.17333333333333334,0.3422222222222222
pythia-70m,draw_1,univ5,medium,297,0.28888888888888886,0.41333333333333333
pythia-70m,draw_1,univ5,high,297,0.3288888888888889,0.44
pythia-70m,draw_1,univ5,very_high,297,0.3466666666666667,0.5555555555555556
pythia-70m,draw_1,univ5,control,297,0.3511111111111111,0.5377777777777778
pythia-70m,draw_2,univ6,very_low,284,0.14222222222222222,0.28
pythia-70m,draw_2,univ6,low,284,0.16444444444444445,0.36444444444444446
pythia-70m,draw_2,univ6,medium,284,0.24888888888888888,0.38222222222222224
pythia-70m,draw_2,univ6,high,284,0.2311111111111111,0.4488888888888889
pythia-70m,draw_2,univ6,very_high,284,0.3422222222222222,0.5377777777777778
pythia-70m,draw_2,univ6,control,284,0.31555555555555553,0.48444444444444446
pythia-70m,draw_2,univ5,very_low,297,0.1688888888888889,0.29333333333333333
pythia-70m,draw_2,univ5,low,297,0.21333333333333335,0.38666666666666666
pythia-70m,draw_2,univ5,medium,297,0.28444444444444444,0.40444444444444444
pythia-70m,draw_2,univ5,high,297,0.26666666666666666,0.4711111111111111
pythia-70m,draw_2,univ5,very_high,297,0.36,0.5511111111111111
pythia-70m,draw_2,univ5,control,297,0.3422222222222222,0.5288888888888889
pythia-70m,draw_3,univ6,very_low,292,0.1288888888888889,0.27555555555555555
pythia-70m,draw_3,univ6,low,292,0.1288888888888889,0.26666666666666666
pythia-70m,draw_3,univ6,medium,292,0.19111111111111112,0.3333333333333333
pythia-70m,draw_3,univ6,high,292,0.24,0.4666666666666667
pythia-70m,draw_3,univ6,very_high,292,0.36444444444444446,0.5688888888888889
pythia-70m,draw_3,univ6,control,292,0.3244444444444444,0.5111111111111111
pythia-70m,draw_3,univ5,very_low,311,0.14222222222222222,0.29333333333333333
pythia-70m,draw_3,univ5,low,311,0.16,0.27555555555555555
pythia-70m,draw_3,univ5,medium,311,0.2088888888888889,0.36444444444444446
pythia-70m,draw_3,univ5,high,311,0.27555555555555555,0.5022222222222222
pythia-70m,draw_3,univ5,very_high,311,0.4488888888888889,0.6311111111111111
pythia-70m,draw_3,univ5,control,311,0.3688888888888889,0.5911111111111111
